SITE|STONE|INSCRIPTIO|DOUBTFUL|INCOMPLETE|CONDITION|LEGIBILITY|SECONDARY|ORIENTATIO|NO_LINES|POSITION1|POSITION2|POSITION3|POSITION4|POSITION|INCISION|TECHNIQUE|NAMES|LANGUAGE|LING_NOTES|CARVE_ERR|SCRIPT|LETTER_HEI|PALEO_NOTE|id
LILTE|1|1|f|f|good|"CISP: As all major authorities agree on the reading one presumes it is in good condition and highly legible.

Macalister/1949, 165, `in good condition''."|f|vind|2|ind|ind|n/a|undecorated|"Nash-Williams/1950, 138, `Latin inscription (Fig. 149) in two lines reading vertically downwards''.

RCAHMW/1976, 38, `When in its original vertical position the stone had the Latin inscription at its upper end, read vertically downwards in two lines''."|inc|"Macalister/1949, 165, `cut and rubbed, in rather broad lines, semicircular in section''.

Nash-Williams/1950, 138, `deeply picked''."|1|latin|"Westwood/1871, 260, `The name...is written in the genitive case, the word corpus being understood at the beginning of the inscription.''

Macalister/1928, 289, `The genitive case is so stereotyped, that the writers cannot accomodate themselves to the nominative which the construction requires.  Thus we get an inscription such as that at  Llaniltern, Glamorgan, where we read VENDUMAGLI HIC IACIT.  In fact, HIC IACIT can hardly be translated literally, `here lies'', at all; rather should we render it, as on certain ancient Scottish tombstones, THIS IS THE LAIR of So-and-so.''

Macalister, in Anon/1933, 362, `First, the parentage of the person commemorated is not recorded.  Such an omission presumably indicates that he was in his time a person of such importance that his name alone was enough to establish the ownership of the monument.  It is also possible that he was an ecclesiastic, who, so to speak, had renounced his earthly parentage and become a son of the Church.  In the Irish Annals the omission of the parentage, in referring to ecclesiastics, though not invariable, is the rule; but it is unusual in referring to laymen...Thirdly, as so often, we are confronted by the grammatical anomaly of constructing the genitive _Vendumagli_ with the verb _hic iacit_.  We may construe `The stone of Vendumaglos, here he lies'' or treating _hic-iacit_ as a sort of substantive,  `The `here-lieth'' of Vendumaglos.''   These expedients, however, are neither satisfactory nor necessary.  The use of the genitive is mere tradition, coming down from the earliest days of monumental epigraphy in these islands.  The _stone_ was not `Vendumaglos'' : it was the stone `of-Vendumaglos,'' and was soecified as such.  Before long, the external case-endings dropped out in pronounciation, and no difference was felt between the nominative and the genitive: compare modern Welsh,  where the distinction is expressed by nothing more than the relative position of the substantives.  Writers had a tradition that there ought to be an _i_ at the end of the word, which was not pronounced; they expressed this by writing it horizontally.  Most likely, at the comparatively late date when the engraver of this stone wrote `Venduumagli'', with the horizontal _i_ (probably not less than 300--400 years after the departure of the Romans), he did not realize that he was writing a genitive at all.  VENDVMAGL{I} was simply the conventional way of writing the name, and it represented a word which served for the nominative as well as the genitive, as the discriminating case-endings had ceased to be pronounced.''"|0|rcaps||"Westwood/1879, 7, `The inscription itself is 2 feet long and 1 foot wide, formed of two lines of rudely-shaped letters. It is to be read--- 

`VeNdVmAgl{I} hic IACIt 

`...the letters are large and coarsely cut, varying from 3 to 4 inches in height, and exhibit a curious mixture of capital, uncial, minuscule, and even cursive writing; the V, N, A, I, and C being capitals, the E and M uncials; the D, L, and H minuscules; and the G and T cursives.'' (See also Westwood/1871, 260.)

Macalister/1928, 292--293, `The process of supersession of the capitals by the minuscular script can be traced in some inscriptions which give us a mixed form of writing.  An excellent example is the Llaniltern inscription...This also illustrates the horizontal ``I'''' of the genitive termination.''

Macalister, in Anon/1933, 362, `Secondly, the inscription is palaeographically important.  It stands on the border-line between the earlier inscriptions in Roman capitals and the later inscriptions in minuscules: the two forms of the alphabet are mixed up together to a degree hardly to be paralleled elsewhere is Wales.''

Macalister/1949, 165, `The inscription is... in rather broad lines, semicircular in section.  It is in...mixed capitals and half-uncials''.

Nash-Williams/1950, 138, `Mixed Roman capitals (A, C, I, N, V), and half-uncials (D, E, G, L, M, T), deeply picked in good style, with horizontal final -I. Some of the letters have `clubbed'' serifs in the manner of the manuscript hand. The A''s have the angular cross-bar. The form of the M is unusual (but cf. Nos. 124, 253, 287).''

RCAHMW/1976, 38: `The letters combine Roman capitals with half-uncials (the latter being E, D, M, G, L, H, T), and also a horizontal terminal I at the end of the first line. The A-s both have an angular cross-bar as in No. 848, and the abnormal form of M can be paralleled (probably but not decisively) on two other inscriptions of roughly the same period, viz. E.C.M. W. 124, 287 (cf also No. 984). Almost all the letters have expanded terminals.''"|LILTE/1/1
LISMR|4|1|f|f|good||f|mix|2|E|broad|mixed|undivided|The text runs up the right side of the monument, and then upside-down along the top edge.|inc||1|inc||n|rbook|||LISMR/4/1
LISMR|5|1|f|f|some|Some of the inscription is on the missing pieces, see Macalister/1949, pl. XLVI.|f|horz|3|n/a|broad|on cross|undivided||inc||1|latce||n|rbook|||LISMR/5/1
LISMR|6|1|f|t|poor|The inscription was very difficult to read when visited in 1996.|f|horz|4|E|other|n/a|n/a|The text is inscribed on the open pages of a book held by the figure.|inc|||inc||n|rbook||Macalister/1949, 109: `The last word being a mistake for AURI.'|LISMR/6/1
LIVET|1|1|f|t|some|"Macalister/1945, 449, `The inscription...is in fairly good condition''.

Okasha/1993, 138, `The text is slightly deteriorated and incomplete.''"|f|verd|1|n/a|broad|n/a|panel|Okasha/1993, 138, `inside a panel on the face of the stone'.|pocked|Macalister/1945, 442, `pocked'.|1|latin||0|rcaps|120|"Okasha/1993, 138, `predominantly capital script''.

Thomas/1994, 265, `... this is the Roman Annicius, with the V as an error for II or I (Annicii, Annici)''."|LIVET/1/1
LNRDN|1|1|f|f|n/a||f|verd|1|ind|ind|n/a|undecorated|RCAHMW/1973, 39, `The inscription as recorded (Fig. 10), apparently in one line down the face'.|ind|||ind||0|rcaps||RCAHMW/1973, 39, [It] `is difficult to interpret even though most of the letters are Roman capitals. The letters after an initial M may represent an unbarred A with half-uncial G, suggesting a Magli- form of name, but such a reading is quite uncertain. There is also a B with separated loops as occurs on the Clwydi Banwen stone (No. 841), dated to the early 6th century.'|LNRDN/1/1
LOHED|1|1|f|t|some|"Forsyth/1996, 376:
`Top: After the scores on the left there is a lower-case B with seriffed ascender, it is followed by a clear, curled lower-case D with horizontal ascender. There is a mark between the two letters which may be the remains of a small C but unless rather small, this wouild make the sequence cramped. A round-backed E with prtruding capitals follows, with what may have been an F next. The top line concludes with what appears to be lower-case N''. "|f|horz|2|inc|broad|mixed|undecorated|Forsyth/1996, 376: `face (b) has two lines of irregular  incised roman letters'. |incised|||latin||0|rbook|||LOHED/1/1
CBURG|4|1|f|f|inc||f|inc||inc|inc|inc|inc||inc|||ind||0|inc|||CBURG/4/1
DNWAY|2|1|f|f|some|Mcmanus/1991, 72, `beyond doubt'. |f|ind|1|inc|arris|inc|undecorated||cut|McManus/1991, 72, `incised in fine cuts'.|1|goide||0|ogham|||DNWAY/2/1
DNWAY|3|1|f|f|poor|McManus/1991, 72, gives his reading of this inscription as `probable' only'. |t|inc|1|inc|arris|inc|undecorated||cut|McManus/1991, 72, `incised in fine cuts'.|1|goide||0|ogham|||DNWAY/3/1
DOOGH|1|1|f|t|poor|"Macalister/1945, 11, is uncertain about the existence of an ogham inscription on this stone. He notes, ''there seems to have been an Ogham inscription on the sinister edge, but it is so badly worn and weathered that practically nothing can be made of it - especially as more than half of the inscribed angle has been spalled away''. He suggests this destruction was contemporary with the addition of the cross. Assessing the legibility of the ''inscription'' Macalister concludes that ''the marks are so faint that it is possible to read almost anything into them''. He then provides a reading of his own.
   Macalister speculates that the stone was re-erected upside down, and that, consequently, some of the letters of the inscription are buried beneath the level of the ground.  "|f|vup|1|n/a|arris|beside cross|undivided|Macalister/1945, 11, provides an illustration of the stone, its inscribed cross and the putative ogham inscription running vertically up its sinister edge. Beginning beneath the cross the inscription runs alongside and may have continued beyond it, but  damage has removed any trace of this.  |inc.|||goide||0|ogham|||DOOGH/1/1
DRCOM|1|1|f|f|some|Macalister/1945, 298--299, `Some of the vowel notches are faint, and the scores at the upper end of the second line are damaged by the injury which has affected the cross...IE3, though broken, exists; the letter is not OA...the last vowel of the first name is certainly O...the final S is all broken away except the proximal ends of S12'.|f|vruu|2|inc|arris|beside cross|undivided||pocked|Macalister/1945, 298, `pocked and rubbed'.|1|goide||0|ogham||"Macalister/1945, 298--299, `The interspacing of the first vowel is irregular ; it is slightly as though AE : but that is due to mere carelessness.  IE though broken, exists ; the letter is not OA as read in (1895).  the [sic] last vowel of the first name is certainly O, though the scores are rather widely spaced.  In the second line the only point to notice is the undue length of the scores of the T (about 5'").  The final S is all broken away except the proximal ends of S.''"|DRCOM/1/1
DRLUS|1|1|f|f|poor|Macalister/1945, 215, `bold but now worn scores on the two angles'. |f|vruu|2|E|arris|inc|undivided||pocked|Macalister/1945, 215, `pocked and rubbed'. |1|goide||0|ogham|||DRLUS/1/1
DROMR|1|1|f|f|poor|Macalister/1945, 262, `now much worn, the top is broken and spalled...The final NA of the second angle is carried across the face of the stone, upon a natural ridge, to avoid collision with the end of the first angle. In consequence, the N is inverted, and looks like a Q; the lapidary has not improved matters by putting the following A in the wrong relative position'. |f|vruu|2|inc|arris|inc|undecorated||pocked|Macalister/1945, 262, `pocked and rubbed'. |1|goide||0|ogham|||DROMR/1/1
DROMR|2|1|f|f|good|Macalister/1945, 263, `in good order, though at first sight  it appears imperfect...The arris is a little broken after the U, but the injuries would not have destroyed all traces of writing if there ever had been any. Evidently the scribe found that he had made a mistake (having written _maci_ for_mucoi_: compare the preceding inscription [DROM/1]), and so he began again on the second angle, and wrote the corrected version...The last three letters are carried across the face of the stone in the same manner as the end of the preceding inscription: the consonant G and its flanking vowels are not as carefully differentiated as they might have been'. |f|vruu|2|N|arris|inc|undecorated||pocked|Macalister/1945, 263, `pocked'. |1|goide||1|ogham||Macalister/1945, 263, `Evidently the scribe found that he had made a mistake (having written _maci_ for_mucoi_: compare the preceding inscription [DROM/1]), and so he began again on the second angle, and wrote the corrected version...The last three letters are carried across the face of the stone in the same manner as the end of the preceding inscription: the consonant G and its flanking vowels are not as carefully differentiated as they might have been'. |DROMR/2/1
DROMR|3|1|f|f|some|Macalister/1945, 264--265, `though worn and slightly fractured it is perfectly legible...The sinister angle is all broken away, and it is impossible to say whether it contained a continuation (forward or backward) of the legend'. |f|vind|1|inc|arris|inc|undecorated||pocked|Macalister/1945, 265, `pocked'.|1|name||0|ogham|||DROMR/3/1
DROUK|1|1|f|f|some|Macalister/1945, 218--219, `The inscription is pocked upon the sinister angle of the southern face, and on the whole is in fair condition except at the beginning, where there are fractures. Brash read it as _Anm Otunilocid maqi Alott_. But his initial AN is made up of natural rugosities on the surface. At first I was inclined to reject the M also; to me it looked like a mere fissure, like another which runs through U2. It was tempting to make a Q out of the initial OT thus giving a familair name QUNILOCI. The final D, however, would be intractable, and the suggested treatment of OT was evidently impossible. The notches of the O are rather widely spaced, but not sufficiently so to compel us to adopt an improbable resolution of the letters into AA. On second thoughts I reinstated the M in my notes. I noticed further that the T is not confined to the H-surface: its proximal ends run below the vowels which flank it, and I decided that it must be intended for {GW}. Inserting a final O which Brash missed...It would not accord with ordinary Celtic syntax to take MO{GW}UNI as a genitive depending on a following nominative LOCID, whatever meaning we might suppose that word to possess. MO{GW}UNILOCID is a long and clumsy name, but not more so than ANAULAMATTIAS, which we have already encountered at Roovesmoore'. |f|vind|1|S|arris|inc|undecorated||pocked|Macalister/1945, 218, `pocked'.|1|goide||0|ogham|||DROUK/1/1
DROYN|1|1|f|f|inc||f|inc||inc|inc|inc|inc||inc|||ind||o|ind|||DROYN/1/1
DRUML|1|1|f|f|good|Macalister/1945, 268, `good condition...The cross-scores are almost (not quite) at right angles to the stem-line. A second cross-score was blocked out in error after 3M, but was efaced and the correct vowel-mark substituted. The translation offered (first suggested by Rhys) is the best I can find: it must stand till somebody improves on it'. |f|vupd|1|inc|arris|inc|undivided|Macalister/1945, 268, `on two angles (up-down)'.|chiselled|"Macalister/1945, 268, `chiselled''. 
"|1|goide||1|ogham||Macalister/1945, 268, `The cross-scores are almost (not quite) at right angles to the stem-line. A second cross-score was blocked out in error after 3M, but was efaced and the correct vowel-mark substituted'. |DRUML/1/1
TOURP|30|1|f|t|poor||f|ind||inc|inc|inc|inc||inc|||ind||0|inc|||TOURP/30/1
CLMAC|73|1|f|t|some|The first two letter are clear, but the third letter is damaged, leaving only a single curved stroke which could be either a C or O.|f|verd|1|n/a|broad|within quadrants|separated||inc|||inc||0|rbook||The inscription is in half-uncial and the right ascender of the U has a wedge-shaped finial.|CLMAC/73/1
CLMAC|107|1|f|t|some||f|verd|1|n/a|broad|within quadrants|separated|The surviving inscription is in the two left-hand quadrants.|inc||1|goide||0|rbook||The inscription is in half-uncial. The R is capitalis-like, the D has an ascender which bends to the left over an open heart-shaped bow. The O also tapers downwards to a point.|CLMAC/107/1
CLMAC|108|1|f|f|good||f|verd|2|n/a|broad|within quadrants|separated|The inscription runs down the stone in two lines in all four quadrants.|inc||1|goide|Petrie/1872, 61, `Hau is the dative singular of `have', the old Irish form of the modern `ua' or `o': `have' (gl. nepos), Zeuss, G.C.ed. Ebel, p. 1021; nominative plural `havi', ib., p. 48, dative plural `avib', ib., p. 1020, accusative `auu', Book of Armagh'.|1|rbook||"Macalister/1909, 29, `The mark of contraction over the DO is curious; evidently it is to satisfy a desire for symmetry, and to balance the similar mark over the OR. I suspect the scribe intended to write the whole name in the sinister cantons, but, finding he had no room, was obliged to upset his scheme by squeezing  Odran into the space after do''.

The inscription is in half-uncial. The initial OR has a contraction mark over it, as does the following DO. Both these contraction marks have bifid terminals. The ascender of the D bends to the left over the bow, and has a short vertical stroke at its end. The R''s are capitalis-like; the 1st and 3rd A''s are in the `OC'' form, and the 2nd and 3rd A''s have accents over them; the E is closed."|CLMAC/108/1
CLMAC|109|1|f|f|some||f|verd|2|n/a|broad|within quadrants|separated|The inscription seen by Macalister was in the two lower quadrants.|inc||1|goide||0|rbook||The inscription is in half-uncial. The A's are in the `OC' form; the R is majuscule; the L's are curved and the final N appears to have a short curved stroke to the right from the bottom of the final descender.|CLMAC/109/1
CLMAC|110|1|f|f|good||f|verd|2|n/a|broad|within quadrants|separated|The inscription is in the two lower quadrants.|inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it and the R is open-bowed. The D has an ascender which bends to the left over an open and tapered bow; the G is half-uncial and some of the letters, particularly in the second line have wedge-shaped finials.|CLMAC/110/1
CLMAC|111|1|f|f|good||f|verd|2|n/a|broad|within quadrants|separated||inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it, with the ascender of the R continuing above the bow stroke; the D's have an ascender which bends to the left over an open bow; the second O is tapered downwards; the right ascender of the U continues down beyond the joining oblique bottom stroke; the B is open-bowed; the second R has a horizontal cross-bar and the E is three-pronged with an elongated middle stroke.|CLMAC/111/1
CLMAC|112|1|f|f|good||f|verd|2|n/a|broad|within quadrants|separated||inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it. The O's taper downwards; the R has a horizontal cross-stroke with a slight upwards flourish at its end; the D's have ascenders which bend leftwards over an open bow; the F has a flat, rather than curved top stroke; the 2nd A is in the `OC' form, and the H has a wedge-shaped finial atop its ascender.|CLMAC/112/1
CLMAC|113|1|f|f|good||f|verd|1|n/a|broad|within quadrants|separated|The inscription runs down in one line through the two right-hand quadrants.|inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it; the R is majuscule; the D has an ascender which bends leftwards over an open heart-shaped bow; the B is open-bowed and Macalister/1949, 54, states that `there is no fracture or lost letter between O and N: merely a superficial roughness passed over by the engraver'.|CLMAC/113/1
CLMAC|114|1|f|f|good||f|verd|2|n/a|broad|within quadrants|separated|The inscription runs vertically down in two lines through all four quadrants.|inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it; the D has an ascender which bends to the left over an open bow; the O's are spherical rather than circular and the descenders on the U and N's have wedge shaped finials.|CLMAC/114/1
CLMAC|115|1|f|t|good||f|verd|1|n/a|broad|within quadrants|quadrant|The inscription as it now survives is in one line running down the stone in the lower right quadrant.|inc||1|name||0|rbook||The inscription is in half-uncial. The E is three-pronged; the R is majuscule and the top of the L has a wedge-shaped finial.|CLMAC/115/1
CLMAC|116|1|f|f|good||f|verd|2|n/a|broad|within quadrants|separated|The inscription is in two lines running down the stone. The first line is in the two right-hand quadrants, the second line only in the lower left quadrant.|inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it; the O is spherical; the first R is minuscule and the 2nd majuscule; the D is closed-bowed; the 1st E is three-pronged and the 2nd E is closed; the 2nd R, the I, L, and M's each have a short stroke to the right from either the top or bottom of the first ascender.|CLMAC/116/1
CLMAC|117|1|f|t|good||f|horz|1|n/a|broad|within quadrants|quadrant|The inscription that survives is in the lower right quadrant. If the restorations proposed by Petrie/1872, 50, Macalister/1909, 31, and Macalister/1949, 55, are correct then it must have also been in the now lost lower left quadrant.|inc||1|name||0|rbook||The inscription is in half-uncial.|CLMAC/117/1
CLMAC|118|1|f|t|poor|"Macalister/1909, `The inscription is much worn, and is injured by flaking of the surface of the stone''

Macalister/1949, 55, `the name is partly chipped away''."|f|verd|2|n/a|broad|within quadrants|separated|The inscription runs down through the two right-hand quadrants.|inc||1|goide||0|rbook||The inscription is in half-uncial. The initial O[R] had a contraction mark over it; the D has an ascender which bends to the left over an open bow and the faint A is shown as being in the `OC' form.|CLMAC/118/1
CLMAC|96|1|f|f|good||f|verd|1|n/a|broad|within quadrants|quadrant||inc||1|name||0|rbook||The inscription is in half-uncial. The M has a short leftwards stroke from the top of the first ascender, as does the I and N; the R is majuscule and the E is closed.|CLMAC/96/1
CLMAC|135|1|f|t|good|The letters we have seem clear.|f|verd|2|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook||The inscription is in half-uncial. The M has slightly curved arches joining the ascenders and the A is in the `OC' form.|CLMAC/135/1
CLMAC|136|1|f|t|poor|Macalister/1909, 36, `The remains of the inscription are partly spalled away'.|f|verd|2|n/a|broad|within quadrants|separated||inc|||inc||0|rbook||The inscription is in half-uncial. Macalister/1909, Plate XXVIII, shows a minuscule E and M, while Macalister/1949, Plate XXXIII, shows an uncial E, a minuscule E, a majuscule R with an open bow and two minuscule N's.|CLMAC/136/1
CLMAC|137|1|f|t|some|The first three of the surviving letters are clear, but the fourth letter is only fragmentary.|f|horz|1|n/a|broad|within quadrants|quadrant||inc||1|name||0|rbook||The inscription is in half-uncial. The initial L is curved, the A is angular and open-bowed, with an upwards flourish from the bottom right corner and the I is vertical. The final letter was shown in Petrie/1872, Fig. 172 as a half-uncial T, and in Macalister/1909, Plate XXVIII, and Macalister/1949, Plate XXXII as a half-uncial G. |CLMAC/137/1
CLMAC|138|1|f|t|good||f|vup|1|n/a|broad|within quadrants|quadrant||inc|||goide||0|rbook||The inscription is in half-uncial. The initial O has a contraction mark over it and tapers downward to a point; the R is majuscule and open bowed and the D has an ascender that bends to the left over an open bow. Petrie/1872, Plate LXXII, shows an initial cross.|CLMAC/138/1
CLMAC|139|1|f|t|some||f|verd|2|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook||The inscription is in Insular half-uncial. The initial OR has a contraction mark over it, and the R is majuscule. The D has a rounded bow and a short leftwards bending ascender. The U has a rounded bottom; the G is half-uncial and the second R is majuscule.|CLMAC/139/1
CLMAC|140|1|f|t|good|All the surviving letters, except the M of the 1st line are clear.|f|verd|2|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook||The inscription is in half-uncial. The initial O tapers downward to a point; the R's are majuscule and open bowed; the D has an ascender that bends to the left over an open tapering bow; the E's are minuscule; the L curved; the B has an ascender which bends to the right over an open bow and the G and T are in the classic half-uncial forms.|CLMAC/140/1
CLMAC|141|1|f|f|some||f|verd|2|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook||The inscription is in half-uncial. Petrie/1872, Plate LXII, shows the initial OR with a contraction mark over it. The R's are both majuscule, with the second considerably more open than the former; the D has an ascender that bends to the left over an open tapering bow; the O also has a bow which tapers downward to a point; the G is half-uncial; the L's are curved; the A has a squarish bow with a short curved stroke from the bottom right corner; the H is minuscule with quite a short ascender; the S is majuscule and the T is half-uncial.|CLMAC/141/1
CLMAC|142|1|f|f|good||f|verd|2|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it, with the R being majuscule and also having an extended ascender; the D has an ascender which bends to the left over an open bow; the bow of the O tapers downward to a point; the M have slightly curved strokes joining the ascenders; the bow of the A is quite angular; the E is majucule and rounded and has  an elongated middle stroke. The H's are minuscule and the I's each have accents over them.|CLMAC/142/1
CLMAC|143|1|f|f|good||f|verd|2|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook||The inscription is in half-uncial. The initial OR has a contraction mark over it and the R, along with the two other examples, is majuscule. The first and last A's are in the `OC' form; the G's are half-uncial; the ascender of the I is clubbed and the L's are curved.|CLMAC/143/1
CLMAC|145|1|f|f|some|Of the surviving letters only the final C is damaged.|f|verd|2|n/a|broad|within quadrants|quadrant||inc||1|goide||0|rbook|||CLMAC/145/1
CLMAC|146|1|f|f|good|The letters appear clear.|f|horz|1|n/a|broad|within quadrants|quadrant||inc|||goide||0|rbook|||CLMAC/146/1
CLMAC|147|1|f|f|poor|Only the I and T survive intact, although the final H is pretty certain.|f|inc|1|n/a|broad|inc|inc||inc||0|ind||0|rbook|||CLMAC/147/1
CLMAC|148|1|f|t|some|Only the N survives completely intact.|f|inc|1|n/a|broad|inc|inc||inc|||ind||0|rbook|||CLMAC/148/1
