SITE|STONE|INSCRIPTIO|READING|BY_WHOM|WHEN|TEXT|LING_NOTES|id
CDWYR|1|2|1|Rhys,J.|1895|VOTECORIGAS||CDWYR/1/2-1
KLCOO|2|1|1|Wakeman|1879|EDCUMICLIE||KLCOO/2/1-1
PARAR|2|1|1|Lady Chatterton|1838|GGVVSS||PARAR/2/1-1
STNIN|1|1|1|Forsyth/1996||||STNIN/1/1-1
TWYN1|2|1|1|||||TWYN1/2/1-1
SBRID|1|1|1|Lhwyd, Edward|1698|AVVOAS||SBRID/1/1-1
SCATT|1|1|1|Petrie, G.|1872|O~R~DOMOINACH||SCATT/1/1-1
SCATT|1|1|2|Macalister, R.A.S.|1949|O~R~DOMOINACH||SCATT/1/1-2
SCATT|1|2|1|Petrie, G.|1872|"O~R~ DO | MOENACH | AITE | MOG || ROIN"||SCATT/1/2-1
SCATT|1|2|2|Macalister, R.A.S.|1949|"O~R~ DO | MOENACH | AITE | MOG || ROIN"||SCATT/1/2-2
SCETH|1|1|1|Westwood, J.O.|1876|--]FILIVSVICTORINI||SCETH/1/1-1
SCETH|1|1|2|Macalister, R.A.S.|1922|NI/[MR]INIF/ILIVSVICTORINI||SCETH/1/1-2
SCETH|1|1|3|Nash-Williams, V.E.|1950|N[EMNI]IF/IL/IVICTORINI||SCETH/1/1-3
SCHUD|1|1|1|Macalister, R.A.S.|1945|"ERCAGNIMA[QI]E ||| [R]CIAS"||SCHUD/1/1-1
AGHAL|1|1|3|Macalister, R.A.S.|1945|[MAQACTOMAQGAR][--||AGHAL/1/1-3
AGHAS|1|1|1|Macalister, R.A.S.|1945|DOTETTOMAQ[IMAGLANI]||AGHAS/1/1-1
AGHIB|1|1|1|Macalister, R.A.S.|1945|LADDIGNIMAQQIMUCCOIAN[--||AGHIB/1/1-1
AGHIB|1|1|2|Macalister, R.A.S.|1897|LADDIGNIMAQQIMUCCOIANA[DO][--||AGHIB/1/1-2
AGHIB|2|1|1|Macalister, R.A.S.|1945|LAIDANNMAQIMACORBO||AGHIB/2/1-1
AGHIB|2|1|2|Macalister, R.A.S.|1897|LAIDANNMAQIMACORB[I]||AGHIB/2/1-2
AGHIB|3|1|1|Macalister, R.A.S.|1945|LUGUVVECCAMAQI[--||AGHIB/3/1-1
AGHIB|3|1|2|Macalister, R.A.S.|1897|LUGUVVEMOCCOMAQIMEQ[O][--||AGHIB/3/1-2
AGLIS|1|1|1|Macalister, R.A.S.|1945|--]MAQIMAQ[I][--][O]GGODIKA||AGLIS/1/1-1
AGLIS|1|1|2|Macalister, R.A.S.|1897|[L^O^U]GGODIKAMAQIMAQ[O][--||AGLIS/1/1-2
AGLIS|2|1|1|Macalister, R.A.S.|1945|--]CELIAVIVU[D!][--||AGLIS/2/1-1
AGLIS|2|1|2|Macalister, R.A.S.|1897|[--][H^Q][--]LIOVIVU[D!]||AGLIS/2/1-2
AGWIL|1|1|1|Rhys, J.|1877|"CORBAGN{I} | FILIUSAL[--"||AGWIL/1/1-1
AGWIL|1|1|2|Roberts, A.|1876|"CORBAGN{I} | FILIUSAC[--"||AGWIL/1/1-2
AGWIL|1|1|3|Westwood, J.O.|1879|"CORBAGN{I} | FILIUSAE[--"||AGWIL/1/1-3
AGWIL|2|1|1|Morris, L.|1725|"ECHAD | FI{*}OCUS"||AGWIL/2/1-1
AHLIS|1|1|1|Macalister/1945|1945|GIRAGNI||AHLIS/1/1-1
AHLIS|2|1|1|Macalister/1945|1945|"CUNAGUSOSMAQIMUCOIVIRA ||| GNI"||AHLIS/2/1-1
AHLIS|2|1|2|McManus/1991|1991|"CUNAGUSOSMAQIMUCOIVIRA ||| G[N]I"||AHLIS/2/1-2
AHLIS|2|1|3|Macalister/1907|1907|"CUNAGUSOSMAQIMUCOIVIRA ||| GNI"||AHLIS/2/1-3
AHLIS|3|1|1|Macalister, R.A.S.|1945|COIMAGNIMAQIMOCOIGA[--||AHLIS/3/1-1
AHLIS|3|1|2|McManus/1991|1991|CO[I]MAGNIMAQIMOCOIG[--||AHLIS/3/1-2
AHLIS|3|1|3|Gippert/1997|1997|"C[OI]MAGNIMAQIM[OC]O[I][--
"||AHLIS/3/1-3
AHLIS|3|1|4|Macalister/1907|1907|COIMAGNIMAQIMOCIGA[--||AHLIS/3/1-4
ALTYR|1|1|1|Forsyth, K.,|1996|--]AMMAQQ[Q!]A[L!]M[VS]MAHHR[A!]R[A!][S]S[U]DDS||ALTYR/1/1-1
AMORE|1|1|1|Macalister, R.A.S.|1945|"LUGUDECCASMAQI ||| [MU]COINETASEGAMONAS ||| DOLATIBIGAISGOB[--"||AMORE/1/1-1
AMORE|1|1|2|Macalister/1907|1907|LUGUDECCASMAQI[MU]COINETASEGAMONASDOLATIBIGAISGOB||AMORE/1/1-2
AMORE|2|1|1|Macalister/1945|1945|--]NACIMAQI[--||AMORE/2/1-1
AMORE|2|1|2|Macalister/1907|1907|--]ANACIMAQI[--||AMORE/2/1-2
AMORE|3|1|1|Macalister, R.A.S.|1945|AMADU||AMORE/3/1-1
ANDRS|1|1|1|Kermode, P.M.C.|1910|"AMMECAT | FILIUSROCAT | HICIACIT"||ANDRS/1/1-1
ANDRS|1|1|2|Kermode, P.M.C.|1911|"AMMECAT{O} | FILIUSROCAT | HICIACIT"||ANDRS/1/1-2
ANDRS|1|1|3|Macalister, R.A.S.|1945|"AMMECATI | FILIUSROCATI | HICIACIT"||ANDRS/1/1-3
ANDRS|1|2|1|Kermode, P.M.C.|1910|[...]B[.]CATOSMAQIR[O]C[A]T[O]S||ANDRS/1/2-1
ANDRS|1|2|2|Macalister, R.A.S.|1945|[E]B[I]CATOSM[A]QIROC[A]T[O]S||ANDRS/1/2-2
ANDRS|1|2|3|Jackson, K.H.|1950|[IM]B[I]CATOSM[A]QIROC[A]TOS||ANDRS/1/2-3
ANDRS|1|2|4|Jackson, K.H.|1953|[AM]B[I]CATOSM[A]QIR[O]C[A]T[O]S||ANDRS/1/2-4
ANGAP|1|1|1|Macalister, R.A.S.|1945|--]TAQMAQO[--||ANGAP/1/1-1
ANGAP|1|1|2|McManus/1991|1991|--]TAQMAQ[--||ANGAP/1/1-2
ANGAP|1|1|3|Cuppage et al/1986|1986|[TA]QMAQ[O!][--||ANGAP/1/1-3
ANSCL|1|1|1|McManus, R.A.S.|1991|RETAGINMAQIDOV[U!][--||ANSCL/1/1-1
ARBRY|1|1|1|Rhys, J.|1886|CUNAMAGLIMA[Q][--]||ARBRY/1/1-1
ARBRY|2|1|1|Rhys, J.|1886|MAQLEOGU||ARBRY/2/1-1
ARBRY|2|1|2|Kermode, P.M.C.|1907|MAQLEOG||ARBRY/2/1-2
ARBRY|2|1|3|Macalister, R.A.S.|1945|[---]MAQLEOG[---]||ARBRY/2/1-3
ARDCT|1|1|1|Macalister, R.A.S.|1945|--]VMAQI[--||ARDCT/1/1-1
ARDCT|2|1|1|Macalister, R.A.S.|1945|"LMCBLTCL ||| LT | QAN"||ARDCT/2/1-1
ARDFE|1|1|1|Macalister,R.A.S.|1945|"CT[A]N[--] ||| QLOG[--"||ARDFE/1/1-1
ARDFE|1|1|2|McManus/1991|1991|[CTN][--][QLA]||ARDFE/1/1-2
ARDNE|1|1|1|Macalister, R.A.S.|1945|--][D!]ITA[V!][--||ARDNE/1/1-1
ARDNE|1|1|2|O'Kelly|1986|--]VITAL[--||ARDNE/1/1-2
ARFYN|1|1|1|White, R.B.,|1971|ERCAGNI||ARFYN/1/1-1
ARRAG|1|1|1|Macalister, R.A.S.|1945|"QRIMITIRON ||| [A]NNMAQCOMOGANN"||ARRAG/1/1-1
ARRAG|1|1|2|Cuppage et al/1986|1986|"QRIMITIRO[N] ||| [AN]MA[Q]COMOGANN"||ARRAG/1/1-2
ARRAG|1|1|3|Macalister/1902|1902|"QRIMITIRRO ||| N ||| ANNMAQCOMOGANN"||ARRAG/1/1-3
ARRAG|2|1|1|Hitchcock|1840|MG16IVNE||ARRAG/2/1-1
ARRAG|2|1|2|Windele|1848|M:C16JUNE||ARRAG/2/1-2
ATHLO|1|1|1|Macalister, R.A.S.|1949|O~R~DOTHORPAITH||ATHLO/1/1-1
AUQUH|1|1|1|Forsyth, K.,|1996|VU[N!][N]ON[A]TEDOV[U!][N!][I!]||AUQUH/1/1-1
AUTAG|1|1|1|Macalister, R.A.S.|1945|UBEDABOALTASI||AUTAG/1/1-1
AYWAG|1|1|1|Macalister, R.A.S.|1945|COVTET||AYWAG/1/1-1
BABOR|1|1|1|Macalister, R.A.S.|1945|"--]UIVAIBES ||| [--]RTAGNI"||BABOR/1/1-1
BABOR|1|1|2|Macalister, R.A.S.|1907|"--A]RTAGNI ||| [AV]I[D]I[T]IB[EA]S"||BABOR/1/1-2
BABOR|2|1|1|Macalister, R.A.S.|1907|MAILAGN[I]||BABOR/2/1-1
BAGLN|1|1|1|Macalister, R.A.S.|1949|+BRANCU+||BAGLN/1/1-1
BAGLN|1|1|2|Nash-Williams, V.E.|1950|+BRANCUF||BAGLN/1/1-2
BAGLN|1|1|3|RCAHMW|1976|+BRANCU:F[--||BAGLN/1/1-3
BAGLN|1|1|4|Rhys, J.|1876|+BRANCU+||BAGLN/1/1-4
BAGLN|1|1|5|Westwood, J.O.|1851|+BRANCUF||BAGLN/1/1-5
BAHAN|1|1|1|Macalister, R.A.S.|1945|--]LLMAQIVORRTIGURN||BAHAN/1/1-1
BAHAN|1|1|2|Macalister, R.A.S.|1907|[AILE]LLAMAQIVORRTIGURN||BAHAN/1/1-2
BAHAN|1|2|1|Macalister, R.A.S.|1945|DIOBI||BAHAN/1/2-1
BAHAN|2|1|1|Macalister, R.A.S.|1945|"CORBAGNI || K[OI]M[A]Q[I]M ||| OC ||| COICOROTANI"||BAHAN/2/1-1
BAHAN|2|1|2|McManus, D.|1991|--][CO]RBAGN[I]K[--]COI[C]ORO[T]ANI||BAHAN/2/1-2
BAHAN|2|1|3|Macalister, R.A.S.|1907|"CORBAGNI ||| K[OI]MAQIMO ||| CO ||| ITORIANI"||BAHAN/2/1-3
BAHAN|3|1|1|Macalister, R.A.S.|1945|"SACATTI ||| NI[--"||BAHAN/3/1-1
BAHAN|3|1|2|McManus, D.|1991|SACATT[I]N[I]||BAHAN/3/1-2
BAHAN|4|1|1|Macalister, R.A.S.|1945|ABULCCAGNI||BAHAN/4/1-1
BAHAN|4|1|2|McManus, D.|1991|ULCCAGNI||BAHAN/4/1-2
BAHAN|4|1|3|Macalister, R.A.S.|1907|--]ULCCAGNI||BAHAN/4/1-3
BAHAN|5|1|1|Macalister, R.A.S.|1945|"MAQIESE ||| AMAQIDOMANE ||| QI"||BAHAN/5/1-1
BAHAN|5|1|2|Macalister, R.A.S.|1907|"MAQIESI ||| MAQIDOMANE ||| QI"||BAHAN/5/1-2
BAHAN|5|2|1|Macalister, R.A.S.|1907|MAQIMAD||BAHAN/5/2-1
BAHAN|5|2|2|Macalister, R.A.S.|1945|--]BA[-][U]MAD[--||BAHAN/5/2-2
BAHAN|6|1|1|Macalister, R.A.S.|1945|DILOGONN||BAHAN/6/1-1
BAHAN|6|1|2|Macalister, R.A.S.|1945|IDLOGONN||BAHAN/6/1-2
BAHAN|6|1|3|Macalister, R.A.S.|1907|LUGUNI||BAHAN/6/1-3
BAHAN|6|2|1|Macalister, R.A.S.|1945|--]TEC[--][N][--][A][I]||BAHAN/6/2-1
BAKIL|1|1|1|Macalister, R.A.S.|1949|"O~R~ | DOAEIRECH || 
TANE"||BAKIL/1/1-1
BAKIL|2|1|1|Macalister, R.A.S.|1949|"[O~]R~ || DO || [CHO]RMA[CAN]"||BAKIL/2/1-1
BAKIL|3|1|1|Macalister, R.A.S.|1949|"MAEL | CHOLUIM"||BAKIL/3/1-1
BAKIL|4|1|1|Macalister, R.A.S.|1949|--]B[--]D[--||BAKIL/4/1-1
BAKIL|5|1|1|Macalister, R.A.S.|1949|--]THIR||BAKIL/5/1-1
BAKNK|1|1|1|Macalister, R.A.S.|1907|"MAILAGUROMAQ[I][--]VILEB[--
"||BAKNK/1/1-1
BAKNK|1|1|2|McManus, D.|1991|MAILAGUROMA[I][--]LIL[--||BAKNK/1/1-2
BAKNK|2|1|1|Macalister, R. A.S.|1945|"LAMADILICCIMACMAI ||| CBRO || CC"||BAKNK/2/1-1
BAKNK|2|1|2|Gippert, J.|1997|"[LAM]ADULICC[I]MA[CMAICBRO ||| CC]

"||BAKNK/2/1-2
BAKNK|2|1|3|Macalister, R. A. S.|1907|"--]MDULICCI ||| MACIEBR ||| [--"||BAKNK/2/1-3
BAKNK|3|1|1|Macalister, R. A. S.|1945|ERACOBIMAQIERAQETAI||BAKNK/3/1-1
BAKNK|4|1|1|Macalister, R.A.S.|1945|GRILAGNIMAQISCILAGNI||BAKNK/4/1-1
BAKNK|4|1|2|Gippert/Web|1997|G[.]ILAGNIMA[QI]SCILAGN[I]||BAKNK/4/1-2
BAKNK|5|1|1|Macalister, R. A. S.|1945|"CLIUCOANA ||| S | MAQI MAQITREN ||| I"||BAKNK/5/1-1
BAKNK|6|1|1|Macalister, R.A.S.|1945|DRUTIQULIMAQIMAQIRODAGNI||BAKNK/6/1-1
BAKNK|6|1|2|Macalister, R.A.S.|1907|DRUTIQ[O!]LIMAQIMAQIQORINI||BAKNK/6/1-2
BAKNK|7|1|1|Macalister, R.A.S.|1907|BRANANMAQIOQOLI||BAKNK/7/1-1
BAKNK|7|1|2|McManus, D.|1991|BRANANMAQI[O]QOLI||BAKNK/7/1-2
BAKNK|7|1|3|Gippert/Web|1997|BRANANMAQIO[Q]OL[I][--||BAKNK/7/1-3
BAKNK|8|1|1|Macalister, R.A.S.|1907|"BOGAIMAQIB ||| IRACO"||BAKNK/8/1-1
BAKNK|8|1|2|McManus/1991|1991|BOGAIMAQIB[I]RAC[O]||BAKNK/8/1-2
BAKNK|8|1|3|Gippert/Web|1997|BOGAIMAQI[BIRAC][--||BAKNK/8/1-3
BAKNK|8|1|4|Macalister/1907|1907|MOGAIMAQIBIRACO||BAKNK/8/1-4
BAKNK|9|1|1|Macalister, R.A.S.|1945|CRONUNMACBAIT||BAKNK/9/1-1
BAKNK|10|1|1|Macalister, R.A.S.|1945|BLATEGSI||BAKNK/10/1-1
BAKNK|10|1|2|Macalister, R.A.S.|1907|BLOTEGSI||BAKNK/10/1-2
BAKNK|11|1|1|Macalister, R.A.S.|1945|"ACTOMAQI ||| [--]MAGO"||BAKNK/11/1-1
BAKNK|11|1|2|Macalister, R.A.S.|1907|ACTOMAQI[D!][--]MAGO||BAKNK/11/1-2
BAKNK|12|1|1|Macalister, R.A.S.|1945|ERCAIDANA||BAKNK/12/1-1
BAKNK|13|1|1|Macalister, R.A.S.|1945|DOMMOMACIVEDUCERI||BAKNK/13/1-1
BAKNK|13|1|2|McManus, D.|1991|D[O!]MM[--]MAC[I--]ERI||BAKNK/13/1-2
BAKNK|13|1|3|Macalister, R.A.S.|1907|DOMMOMACUVEDUCERI||BAKNK/13/1-3
BAKNK|14|1|1|Macalister, R.A.S.|1945|"ANMMEDDOGENI
"||BAKNK/14/1-1
BAKNK|14|1|2|Gippert, J.|1981|ANMMEDDOGEN[I]||BAKNK/14/1-2
BAKNK|15|1|1|Macalister, R.A.S.|1945|COVALOTI||BAKNK/15/1-1
BAKNK|15|1|2|Macalister, R.A.S.|1907|C[O]SALUT[I]||BAKNK/15/1-2
BALBA|1|1|1|McManus, D.|1991|"MAQICOR[A]B[I]RM[A]Q[I]TAN[.]B!][-- | N[E]T[A]S[A]L[A]GI[A]MAQ[I]M[U]C[OI][--"||BALBA/1/1-1
BALBO|1|1|1|Macalister, R.A.S.|1945|CORBI{K}OIMAQILABRID[--||BALBO/1/1-1
BALBO|2|1|1|Macalister/1945|1945|MAILAGN[I]||BALBO/2/1-1
BALBO|2|1|2|Macalister/1907|1907|[AV]IDITIBEAS[A]RTAGNI||BALBO/2/1-2
BALBR|1|1|1|Macalister, R.A.S.|1949|"GLANNANIMAQ ||| IBBRANNAD"||BALBR/1/1-1
BALBR|1|1|2|McManus, D.|1991|GLANNANIMAQIBBRANNAD||BALBR/1/1-2
BALBR|1|1|3|Macalister, R.A.S.|1949|"GGLANNANIMAQ ||| IBBRANNAD"||BALBR/1/1-3
BALEE|1|1|1|Macalister, R.A.S.|1945|MOINENAMAQIOLACON||BALEE/1/1-1
BALEE|1|1|2|Gippert, J.|1997|MOIN[E]NAMAQIOLACON||BALEE/1/1-2
BALEE|1|1|3|McManus/1991|1991|MOINENAMAQIOLACON||BALEE/1/1-3
BALGH|1|1|1|Macalister, R. A. S.|1945|[--]||BALGH/1/1-1
BALIG|1|1|1|Macalister, R.A.S.|1945|"DUBONIRRAS ||| MAQQITENAC[I]"||BALIG/1/1-1
BALIG|1|1|2|Macalister, R.A.S.|1897|CARRICAIMAQQITENAC[I]||BALIG/1/1-2
BALIG|2|1|1|Macalister, R.A.S.|1945|"MAQQIQUETTI ||| MAQQICUNITTI"||BALIG/2/1-1
BALIG|2|1|2|Cuppage, J.|1986|"MAQQICUNITTI ||| [M]A[Q]QIQETTI[A]"||BALIG/2/1-2
BALIG|2|1|3|Macalister, R.A.S.|1897|"MAQQIQETTIA | MAQQICUNITTI"||BALIG/2/1-3
BALIG|3|1|1|Macalister, R.A.S.|1945|"GRAVICASMAQI | MUCOI[DO]VVINAS"||BALIG/3/1-1
BALIG|3|1|2|McManus, D.|1991|"[GR]AVICASMAQIMUCO[--
"||BALIG/3/1-2
BALIG|3|1|3|Cuppage, J.|1986|[--]NAVICASMAQIMUCO[I][--]S||BALIG/3/1-3
BALIG|3|1|4|Macalister, R.A.S.|1897|--]GRAVICASMAQIMUCOI[--]S||BALIG/3/1-4
BALIG|4|1|1|Macalister, R.A.S.|1945|BROINIONAS||BALIG/4/1-1
BALIG|5|1|1|Macalister, R.A.S.|1945|LUBBAISMAQQIDUN[--]S||BALIG/5/1-1
BALIG|5|1|2|McManus, D.|1991|LU[BB]IAS[--||BALIG/5/1-2
BALIG|5|1|3|Macalister, R.A.S.|1897|G[E]BB[AI]SMAQQ[IT]AN[AI]S||BALIG/5/1-3
BALIG|6|1|1|Macalister, R.A.S.|1897|CCICAMINIMAQQICATTINI||BALIG/6/1-1
BALIG|6|1|2|Cuppage, J.|1986|CCICAMINIMAQQ[I]C[A]TTINI||BALIG/6/1-2
BALIG|7|1|1|Macalister, R.A.S.|1945|"CUNAMAQQICORBBIMAQQ ||| [--] ||| [--]S"||BALIG/7/1-1
BALIG|7|1|2|McManus, D.|1991|[CU]NAMAQQICORBBIMAQQ[--||BALIG/7/1-2
BALIG|8|1|1|Macalister, R.A.S.|1945|[--]||BALIG/8/1-1
BARDS|1|1|1|Westwood, J.O.|1848|--]MARCVELIO||BARDS/1/1-1
BARDS|1|1|2|Westwood, J.O.|1877|ESILVMARCUELIO||BARDS/1/1-2
BARDS|1|1|3|Macalister, R.A.S.|1949|--]ESAUMARCUEUA||BARDS/1/1-3
BARDS|1|1|4|Nash-Williams, V.E.|1950|--]ESILLMARIGUELIO||BARDS/1/1-4
BARHA|1|1|1|Macalister, R.A.S.|1945|CARRTTACCGAQIMUCAGG[I]||BARHA/1/1-1
BARHA|1|1|2|Macalister, R.A.S.|1907|CARRTTACCGAQIMOCCAGGI||BARHA/1/1-2
BARHA|1|1|3|McManus, D.|1991|CARRTTACCMMAQIMUCAGG[I]||BARHA/1/1-3
BARHA|1|1|4|Gippert, J.,|1981|[C]ARRTTACCMMAQIMU[-]CAGG[--||BARHA/1/1-4
BARM1|1|1|1|O'Neil, B. H. St. J.|1932|"A/ETERN[-- | ET | A/ETE/RN/E"||BARM1/1/1-1
BARM1|1|1|2|Macalister, R.A.S.|1945|"A/ETERN[-- | ET | A/ETE/RN/E"||BARM1/1/1-2
BARM1|1|1|3|Nash-Williamsm V.E.|1950|"A/E/T/ERN[-- | ET | A/ETE/RN[E]"||BARM1/1/1-3
BARM2|1|1|1|Macalister, R.A.S.|1945|"CA/ELEXTI | MONEDO | RIGI"||BARM2/1/1-1
BARM2|1|1|2|Nash-Williams, V.E.|1950|"CA/ELEXTI | MONEDO | RIGI"||BARM2/1/1-2
BARM2|1|1|3|Huebner, E.|1876|"CA/ELEXTI | MONEDO | RIGI"||BARM2/1/1-3
BAROG|1|1|1|Macalister/1945|1945|BRONOGENI||BAROG/1/1-1
BAVEL|1|1|1|Macalister, R.A.S.|1907|"CUMNI | MAQIMU[C]OIV[AL]UCI"||BAVEL/1/1-1
BAVEL|1|1|2|Macalister, R.A.S.|1945|"CUMNI | MAQIMUCOIVALUVI"||BAVEL/1/1-2
BAWGL|1|1|1|Macalister, R.A.S.|1945|--]QET[IA]SM[A]QTRENIL[U][--||BAWGL/1/1-1
BAYEL|1|1|1|Macalister, R.A.S.|1907|"--]D[-]QMAMAQI ||| RAG ||| AVVECC"||BAYEL/1/1-1
BAYEL|1|1|2|Macalister, R.A.S.|1945|"D[A]Q[U]AMAQI ||| RAG ||| AVVECC"||BAYEL/1/1-2
BCARE|1|1|1|Macalister, R.A.S.|1945|VOTI||BCARE/1/1-1
BDAFN|1|1|1|Morris, L.|1731|"SANC/T | A/NVS | SACRI | ISIS"||BDAFN/1/1-1
BDAFN|1|1|2|Rhys, J.|1876|"SANC/T | F/I[L]IVS | SAC/ER | [--]"||BDAFN/1/1-2
BDAFN|1|1|3|Rhys, J.|1896|"SANC/T | A/NVS | SAC/ER | [..]S"||BDAFN/1/1-3
BDAFN|1|1|4|Macalister, R.A.S.|1945|"SANC/E | [R]INVS | SAC/ER | [D.S]"||BDAFN/1/1-4
BDAFN|1|1|5|Nash-Williams, V.E.|1950|"SANC/T | INVS | SAC/ER | I[N]P"||BDAFN/1/1-5
BDREN|1|1|1|Macalister, R.A.S.|1902|--][MAQI]DROGNOMU[COI][--||BDREN/1/1-1
BDREN|1|1|2|Macalister, R.A.S.|1945|--MAD!]IDROGNOMU[...][--||BDREN/1/1-2
BDREN|2|1|1|Macalister, R.A.S.|1945|IRCCITOS||BDREN/2/1-1
BENBR|1|1|1|McManus, D.|1991|"--]D[--]T[-- ||| --]M[A!][--]C[--][R!][--][G!][--"||BENBR/1/1-1
BGARR|1|1|1|Macalister, R.A.S.|1945|MAILAGNIMAQIGAMATI||BGARR/1/1-1
BGLAS|1|1|1|Macalister, R.A.S|1945|--]CCIMAQ[--||BGLAS/1/1-1
BGLAS|1|1|2|Gippert, J.|1997|"--]CMA[Q][--
"||BGLAS/1/1-2
BGLAS|1|2|1|Macalister, R. A. S|1945|--]INI[--||BGLAS/1/2-1
BHILL|1|1|1|Macalister, R. A. S.|1902|--]UN[--]CC[--||BHILL/1/1-1
BIISL|1|1|1|Macalister, R. A. S.|1945|--]OLAGNIMAQ[--||BIISL/1/1-1
BIRSY|1|1|1|Forsyth, K.|1996|[M]ONNORRA[N]RR||BIRSY/1/1-1
BIRSY|2|1|1|Forsyth, K.|1996|-][B!][A]QI[:]A[B!][-||BIRSY/2/1-1
BIRSY|3|1|1|Forsyth, K.,|1996|[M][A!][B!]--]QQHO[B!][-||BIRSY/3/1-1
BISCV|1|1|1|Okasha, E.|1985|"+[CI]L | RO | RON"||BISCV/1/1-1
BISCV|1|1|2|Langdon, A.G.|1896|"+AL | RO | RON"||BISCV/1/1-2
BISCV|1|2|1|Okasha, E.|1985|"[--] | [+F/ILI][--]"||BISCV/1/2-1
BISCV|1|2|2|Macalister, R.A.S.|1949|"ULCUI | +FILIVS"||BISCV/1/2-2
BLFOO|1|1|1|Forsyth, K.,|1996|--][I!]OMEQ[I!][--||BLFOO/1/1-1
BLFOO|2|1|1|Forsyth, K.,|1996|[V!]UEDLA||BLFOO/2/1-1
