SITE|STONE|INSCRIPTIO|READING|EXPAND_ID|EXPANSION|TRANSLATIO
ADARN|2|2|1|1|F[RAT]RE ET [--|n/a
ADARN|2|2|2|1|PRESPITER|``(Maglus) Prespiter (fecit),' or the like.' (Rhys/1918, 183).
ADARN|2|2|3|1|PRESB[Y]TER|n/a
ADARN|2|2|4|1|PRESBITER|priest
AGHAL|1|1|1|1|"--][Q][--][AAMQMARO][--
"|n/a
AGHAL|1|1|2|1|MAQ ACTO MAQ GAR[--|n/a
AGHAL|1|1|3|1|MAQ-ACTO MAQ GAR[--MAQI MUCOI Z]|n/a
AGHAS|1|1|1|1|DOTETTO MAQ[I MAGLANI]|n/a
AGHIB|1|1|1|1|LADDIGNI MAQQI MUCCOI AN[--|n/a
AGHIB|1|1|2|1|LADDIGNI MAQQI MUCCOI ANA[DO--|n/a
AGHIB|2|1|1|1|LAIDANN MAQI MACORBO|n/a
AGHIB|2|1|2|1|LAIDANN MAQI MACORB[I]|n/a
AGHIB|3|1|1|1|LUGUVVECCA MAQI[--|n/a
AGHIB|3|1|2|1|LUGUVVEMOCCO MAQI MEQ[O][--|n/a
AGLIS|1|1|1|1|--] MAQI MAQ[I][--][O]GGODIKA|n/a
AGLIS|1|1|2|1|[--L^O^U]GGODIKA MAQI MAQ[O--]|n/a
AGLIS|2|1|1|1|--]CELI AVI VU[D!---|n/a
AGLIS|2|1|2|1|[--][H^Q][--]LI OVI VU[D!]|n/a
AGWIL|1|1|1|1|"CORBAGNI | FILIUS AL[--"|(The stone) of Corbagnus (PN), son of Al(--) (PN).
AGWIL|1|1|2|1|"CORBAGNI | FILIUS AC[--"|n/a
AGWIL|1|1|3|1|"CORBAGNI | FILIUS AE[--"|n/a
AGWIL|2|1|1|1|ECHAD  FI{*}OCUS|n/a
AHLIS|1|1|1|1|GIRAGNI|n/a
AHLIS|2|1|1|1|CUNAGUSOS MAQI MUCOI VIRAGNI|
AHLIS|2|1|2|1|CUNAGUSOS MAQI MUCOI VIRAGNI|
AHLIS|2|1|3|1|CUNAGUSOS MAQI MUCOI VIRAGNI|
AHLIS|3|1|1|1|COIMAGNI MAQI MOCOI GA[--|
AHLIS|3|1|2|1|CO[I]MAGNI MAQI MOCOI G[--|n/a
AHLIS|3|1|3|1|C[OI]MAGNI MAQI M[OC]O[I]|n/a
AHLIS|3|1|4|1|COIMAGNI MAQI MOCIGA[--|n/a
ALTYR|1|1|1|1|"--]AM
MAQQ [Q!]A[L!]M[VS] MAHHR[A!]R[A!][S]S[U]DDS
"|n/a
AMORE|1|1|1|1|"LUGUDECCAS MAQI [--][M][U]COI NETA-SEGMONAS 
Macalister/1945, saw the 3rd line as a 2nd inscription.
DOLATI BIGA-ISGOB[--"|n/a
AMORE|1|1|2|1|LUGUDECCAS MAQI MUCOI NETA SEGAMONAS DOLATIBIGAISGOB|Of Dolativix(PN) the smith Lugud's(PN) son, tribesman of Nia Segamain.
AMORE|2|1|1|1|--]NACI MAQI[--|n/a
AMORE|2|1|2|1|--]ANACI MAQI[--|n/a
AMORE|3|1|1|1|AMADU|n/a
ANDRS|1|1|1|1|"AMMECAT | FILIUS ROCAT | HIC IACIT"|n/a
ANDRS|1|1|2|1|"AMMECATO | FILIUS ROCAT | HIC IACIT"|n/a
ANDRS|1|1|3|1|"AMMECATI | FILIUS ROCATI | HIC IACIT"|n/a
ANDRS|1|2|1|1|[..]B[.]CATOS (PN) MAQI ROCATOS (PN)|[..]b[.]catos (PN) son of Rocatos (PN)
ANDRS|1|2|2|1|[E]B[I]CATOS(PN) M[A]QI R[O]C[A]T[O]S(PN)|Ebicatos (PN) son of Rocatos (PN)
ANDRS|1|2|3|1|[IM]B[I]CATOS(PN) M[A]QI R[O]C[A]T[O]S(PN)|Imbicatos son of Rocatos
ANDRS|1|2|4|1|AMBICATOS(PN) MAQI ROCATOS (PN)|Ambicatos son of Rocatos
ANGAP|1|1|1|1|--]TAQMAQO[--|n/a
ANSCL|1|1|1|1|RETAGIN MAQI DOV[U!][--|n/a
ARBRY|1|1|1|1|CUNAMAGLI MA[Q--]|Cunamaglas (PN) son of...
ARBRY|2|1|1|1|MAQLEOGU|n/a
ARBRY|2|1|2|1|MAQLEOG|Mac Leog(PN)
ARBRY|2|1|3|1|[---]MAQ LEOG[---]|n/a
ARDCT|1|1|1|1|--]V MAQI[--|n/a
ARDCT|2|1|1|1|LMCBLTCL LT QAN|n/a
ARDFE|1|1|1|1|CT[A]N QLOG|n/a
ARDNE|1|1|1|1|DITAV|n/a
ARDNE|1|1|2|1|--]VITAL[--|n/a
ARFYN|1|1|1|1|ERCAGNI|n/a
ARRAG|1|1|1|1|QRIMITIR RON[A]NN MAQ COMOGANN|n/a
ARRAG|1|1|2|1|QRIMITIR RON[A]NN MAQ COMOGANN|Ronan the Priest son of Comgan.
ARRAG|1|1|3|1|QRIMITIR RONANN MAQ COMOGANN|n/a
ARRAG|2|1|1|1|MG16IUNE|n/a
ARRAG|2|1|2|1|MC:16 June|n/a
ATHLO|1|1|1|1|OROIT DO THORPAITH|n/a
AUQUH|1|1|1|1|VU[N!][N]ON[A ]TEDOV[U!][N!][I!]|n/a
AUTAG|1|1|1|1|UBEDABO ALTASI|n/a
AUTAG|1|1|2|1|OBUDOLDSE|n/a
AYWAG|1|1|1|1|COVTET|n/a
BABOR|1|1|1|1|--]UIVAIBES [--]RTAGNI|n/a
BABOR|1|1|2|1|--A]RTAGNI [AV]I [D]I[T]IB[EA]S|n/a
BABOR|2|1|1|1|MAILAGN[I]|n/a
BAGLN|1|1|1|1|+BRANCU+|n/a
BAGLN|1|1|2|1|+BRANCUF|(The Cross of) Brancuf (PN)
BAGLN|1|1|3|1|+BRANCU F[ECIT?]|n/a
BAGLN|1|1|4|1|+BRANCU+|n/a
BAGLN|1|1|5|1|+BRANCUF|n/a
BAHAN|1|1|1|1|--]LL MAQI VORRTIGURN|n/a
BAHAN|1|1|2|1|[AILE]LLA MAQI VORRTIGURN|n/a
BAHAN|1|2|1|1|DIOBI|n/a
BAHAN|2|1|1|1|CORBAGNI K[O][I] M[A]Q[I] MACCOI COROTANI|n/a
BAHAN|2|1|2|1|C[O]RBAGNI K[--] COI [C]ORO[T]ANI|n/a
BAHAN|2|1|3|1|CORBAGNI K[OI] MAQI MOCOI TORIANI|n/a
BAHAN|3|1|1|1|SACATTINI[--|n/a
BAHAN|3|1|2|1|SACATT[I]N[I]|n/a
BAHAN|4|1|1|1|AB ULCAGGNI|Abbot Ulcagnus(PN)
BAHAN|4|1|2|1|ULCCAGNI|n/a
BAHAN|4|1|3|1|--]ULCCAGNI|n/a
BAHAN|5|1|1|1|MAQI ESEA MAQI DOMANEQI|n/a
BAHAN|5|1|2|1|MAQI-ESI MAQI DOMANEQI|n/a
BAHAN|5|2|1|1|MAQI MAD|n/a
BAHAN|5|2|2|1|--]BA[-][U]MAD[--|n/a
BAHAN|6|1|1|1|DILOGONN|n/a
BAHAN|6|1|2|1|IDLOGONN|n/a
BAHAN|6|1|3|1|LUGUNI|n/a
BAHAN|6|2|1|1|TECANI AVI [--]AI|n/a
BAKIL|1|1|1|1|OROIT DO AEIRECHTANE|n/a
BAKIL|2|1|1|1|[O]ROIT DO [CHO]RMA[CAN]|n/a
BAKIL|3|1|1|1|MAELCHOLUIM(PN)|n/a
BAKIL|4|1|1|1|--]B[--]D[--|n/a
BAKIL|5|1|1|1|[--]THIR|n/a
BAKNK|1|1|1|1|MAILAGURO MAQ[I][--]VILEB[--|n/a
BAKNK|1|1|2|1|MAILAGUROMA[I][--]LIL[--|n/a
BAKNK|2|1|1|1|LAMADILICCI MAC MAIC BROCC|n/a
BAKNK|2|1|2|1|"[LAM]ADULICC[I] MA[C MAIC BROCC]
"|n/a
BAKNK|2|1|3|1|--]MDULICCI MACIE BR[--|n/a
BAKNK|3|1|1|1|ERACOBI MAQI ERAQETRI|n/a
BAKNK|4|1|1|1|GRILAGNI MAQI SCILAGNI|n/a
BAKNK|4|1|2|1|G[.]ILAGNI MA[QI] SCILAGN[I]|n/a
BAKNK|5|1|1|1|CLIUCONAS MAQI MAQI-TRENI|n/a
BAKNK|6|1|1|1|DRUTIQULI MAQI MAQI-RODAGNI|n/a
BAKNK|6|1|2|1|DRUTIQ[O]LI MAQI MAQI QORINI|n/a
BAKNK|7|1|1|1|BRANAN MAQI OQOLI|n/a
BAKNK|7|1|2|1|BRANAN MAQI [O]QOLI|n/a
BAKNK|7|1|3|1|BRANAN MAQI O[Q]OL[I][--|n/a
BAKNK|8|1|1|1|BOGAI MAQI BIRACO|n/a
BAKNK|8|1|2|1|BOGAI MAQI B[I]RAC[O]|n/a
BAKNK|8|1|3|1|"BOGAI MAQI [B][I]RAC[--
"|n/a
BAKNK|8|1|4|1|MOGAI MAQI BIRACO|n/a
BAKNK|9|1|1|1|CRONUN MAC BAIT|n/a
BAKNK|10|1|1|1|BLATEGSI|n/a
BAKNK|10|1|2|1|BLOTEGSI|n/a
BAKNK|11|1|1|1|ACTO MAQI [--]MAGO|n/a
BAKNK|11|1|2|1|ACTO MAQI [D!][--]MAGO|n/a
BAKNK|12|1|1|1|ERCAIDANA|n/a
BAKNK|13|1|1|1|DOMMO MACI VEDUCERI|n/a
BAKNK|13|1|2|1|D[O!]MM[--] MAC[I--]ERI|n/a
BAKNK|13|1|3|1|DOMMO MACU VEDUCERI|n/a
BAKNK|14|1|1|1|ANM MEDDOGENI|n/a
BAKNK|14|1|2|1|ANM MEDDOGEN[I]|n/a
BAKNK|15|1|1|1|COVALOTI|n/a
BAKNK|15|1|2|1|C[O]SALUT[I]|n/a
BALBA|1|1|1|1|MAQI COR[A]B[I]R M[A]QI TAN[B!--] N[E]T[A] S[A]L[A]GI[A] MAQ[I] M[U]C[OI]|n/a
BALBO|1|1|1|1|CORBI KOI MAQI LABRID[--|n/a
BALBR|1|1|1|1|GLANNANI MAQI BBRANNAD|n/a
BALBR|1|1|2|1|GLANNANI MAQI BBRANNAD|n/a
BALEE|1|1|1|1|MOINENA MAQI OLACON|n/a
BALEE|1|1|2|1|MOIN[E]NA MAQI OLACON|n/a
BALEE|1|1|3|1|MOINENA MAQI OLACON|n/a
BALGH|1|1|1|1|[--]|n/a
BALIG|1|1|1|1|DUBONIRRAS MAQQI TENAC[I]|n/a
BALIG|1|1|2|1|CARRICAI MAQQI TENAC[I]|n/a
BALIG|2|1|1|1|MAQQI-QETTI MAQQI CUNITTI|n/a
BALIG|2|1|2|1|MAQQICUNITTI [M]A[Q]QI QETTI[A]|n/a
BALIG|2|1|3|1|MAQQI QETTIA MAQQI CUNITTI|n/a
BALIG|3|1|1|1|GRAVICAS MAQI MUCOI [DO]VVINAS|n/a
BALIG|3|1|2|1|[G][R]AVICAS MAQI MUCO[--|n/a
BALIG|3|1|3|1|[--]NAVICAS MAQI MUCO[I][--]S|n/a
BALIG|3|1|4|1|GRAVICAS MAQI MUCOI [--]S|n/a
BALIG|4|1|1|1|BROINIONAS|n/a
BALIG|5|1|1|1|LUBBAIS MAQQI DUN[--]S|n/a
BALIG|5|1|2|1|LU[BB]IAS[--|n/a
BALIG|5|1|3|1|G[E]BB[AIS] MAQQ[I T]AN[AI]S|n/a
BALIG|6|1|1|1|CCICAMINI MAQQI CATTINI|n/a
BALIG|6|1|2|1|CCICAMINI MAQQ[I] C[A]TTINI|n/a
BALIG|7|1|1|1|CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S|n/a
BALIG|7|1|2|1|[CU]NAMAQQI CORBBI MAQQ[--|n/a
BALIG|8|1|1|1|[--]|n/a
BARDS|1|1|1|1|--] MARC VELIO|n/a
BARDS|1|1|2|1|ESILV MARC UELIO|n/a
BARDS|1|1|3|1|[FILI name] ESAU MARCU EUA|Esau (PN), Marcus (PN), Eua (PN), [children of NN]
BARDS|1|1|4|1|--]ESILLMARIGUELIO|n/a
BARHA|1|1|1|1|CARRTTACC GAQI MU CAGG[I]|n/a
BARHA|1|1|2|1|CARRTTACC GAQI MOCCAGGI|n/a
BARHA|1|1|3|1|CARRTTACC MMAQI MU CAGG[I]|n/a
BARHA|1|1|4|1|[C]ARRTTACC MMAQI MU[- ]CAGG[--|n/a
BARM1|1|1|1|1|AETERN[I] ET AETERNE|n/a
BARM1|1|1|2|1|AETERN[I] ET AETERNE|n/a
BARM1|1|1|3|1|AETERN[I] ET AETERN[E]|(The stone of) Aeternus (PN) and Aeterna (PN) (?)
BARM2|1|1|1|1|CAELEXTI MONEDO RIGI|n/a
BARM2|1|1|3|1|CAELEXTI MONEDORIGI|n/a
BAROG|1|1|1|1|BRANOGENI|n/a
BAVEL|1|1|1|1|CUMNI MAQI MUCOI VALUVI|
BAVEL|1|1|2|1|CUMNI MAQI MUCOI VALUVI|n/a
BAWGL|1|1|1|1|--]QET[IA]S M[A]Q TRENIL[U][ --|n/a
BAYEL|1|1|1|1|--]D[-]QMA MAQI RAGAVVECC|n/a
BAYEL|1|1|2|1|D[A]Q[U]MA MAQI RAGAVVECC|n/a
BCARE|1|1|1|1|VOTI|n/a
BDAFN|1|1|1|1|SANCTANVS SACRI ISIS|n/a
BDAFN|1|1|2|1|SANCT[ANVS] FILIVS SACER[DOTIS]|n/a
BDAFN|1|1|2|2|SANCT[AGNVS] FILIVS SACER[DOTIS]|n/a
BDAFN|1|1|3|1|SANCTANVS SACER[DV]S|Sanctan(PN) the Priest.
BDAFN|1|1|4|1|SANCE[R]INVS SACER[DOS]|n/a
BDAFN|1|1|5|1|SANCTINVS SACER[DO]S IN P[ACE]|Sanctinus (PN) the Bishop (lies here) in peace.
BDREN|1|1|1|1|--]MAQI] DROGNO MU[COI][--|n/a
BDREN|1|1|2|1|--MAQ]I DROGNO MU[COI--]|n/a
BDREN|2|1|1|1|IRCCITOS|n/a
BENBR|1|1|1|1|"--]D[--]T ||| M[A!][--]C[--][R][--][G!][--"|n/a
BGARR|1|1|1|1|MAILAGNI MAQI GAMATI|n/a
BGLAS|1|1|1|1|--]CCIMAQ[--|n/a
BGLAS|1|1|2|1|--]CMA[Q][--|n/a
BGLAS|1|2|1|1|--]INI[--|n/a
BHILL|1|1|1|1|--]UN[--]CC[--|n/a
BIISL|1|1|1|1|--]OLAGNI MAQ[--|n/a
BIRSY|1|1|1|1|[M]ONNORRA[N]RR|n/a
BIRSY|2|1|1|1|-][B!][A]QI[:]A[B!][-|n/a
BIRSY|3|1|1|1|-][MAB]QQHO[B!][-|n/a
BIRSY|3|1|1|2|--][MA]QQHO[B!][--|n/a
BISCV|1|1|1|1|+ CILRORON|n/a
BISCV|1|1|2|1|+ ALRORON|n/a
BISCV|1|1|3|1|ALRORON|n/a
BISCV|1|2|1|1|[--]+FILI[--]|[--] son of [--].
BISCV|1|2|2|1|ULCUI + FILIUS|n/a
BLFOO|1|1|1|1|[-][E!][-]MEQI[-]|n/a
BLFOO|1|1|1|2|[-]EO[-][IO] MEQ[-]E[-]|n/a
BLFOO|2|1|1|1|[V!]UEDLA|n/a
BLFOO|2|1|1|2|[BL]UEDA|n/a
BLHER|1|1|1|1|COIMAGNI MAQI VITALIN|n/a
BLHUN|1|1|1|1|DUGENNGGI MAQI REDDOS|n/a
BLHUN|1|1|2|1|DUGENNGG[I] MAQI RODDOS|n/a
BLHUN|1|1|3|1|DUG[E]NNGG MAQI R[O]DD[O]S|n/a
BLHUN|1|1|3|2|DUG[U]NNGG MAQI R[O]DD[O]S|n/a
BLNIG|1|1|1|1|LUGUQRIT MA[QI] QRITT[I]|n/a
BLNIG|1|1|2|1|LUGOQRIT MA[QI] QRITT[I]|n/a
BLTAG|1|1|1|1|AKEVRITTI|n/a
BLTAG|2|1|1|1|MAQQI-IARIKI MAQQI MUCCOI DOVVINIAS|n/a
BLTAG|2|1|2|1|MAQQI-IARI KOI MAQQI MUCCOI DOVVINIAS|n/a
BLTAG|3|1|1|1|DOVETI MAQQI CATTINI|n/a
BLTAG|4|1|1|1|SUVALLOS MAQQI DUCOVAROS|n/a
BLTAG|4|1|2|1|SUVALLOS MAQ[QI] DUCOVAROS|n/a
BLTAG|5|1|1|1|MAQI-DECCEDA MAQI GLASICONAS|n/a
BLTAG|6|1|1|1|TRIA MAQA MAILAGNI|Of the three sons of Mailagnos (PN).
BLTAG|6|1|2|1|TRIA MAQA MAILAGNI CURCITTI|n/a
BLTAG|6|2|1|1|"CURCITTI
"|n/a
BLTAG|7|1|1|1|INISSIONAS|n/a
BLTAG|8|1|1|1|CUNAMAQQI AVI CORBBI|n/a
BLTAG|8|1|2|1|CULI MAQQI AVI CORBI|n/a
BLTAG|9|1|1|1|NETTA-LAMINACCA KOI MAQQI MUCOI DOVIN[IA]S|n/a
BLTAG|9|1|2|1|[NT]L[A]MINACCA KOI MAQQI MUCOI DO[V][--|n/a
BLTAG|9|1|3|1|NETTA-LAMINCA KOI MAQQI MUCOI DOV[--|n/a
BLTAG|9|1|4|1|N[E]TTA-LAMINACCA KO[I] MAQQI MUCOI DO[VINIAS]|n/a
BLTAG|10|1|1|1|[--]|n/a
BLTER|1|1|1|1|VOENACUNAS M[AQI MUCOI--]|n/a
BLTER|1|1|2|1|VOE[N]ACUNA[S M--]|n/a
BLTER|2|1|1|1|[DR]OGNO|n/a
BLTER|2|1|2|1|[R]OGNO|n/a
BLVOO|1|1|1|1|QRIT[--]I MAQ[I LO]BACONA AVI NEAGRACOLINEA|n/a
BLVOO|2|1|1|1|NETAVROQI MAQI QIC[I]|n/a
BLYGH|1|1|1|1|QENILOCI MAQI MAQI-AINIA MUC[OI--|n/a
BLYGH|1|2|1|1|FEC(I)T QUENILOC G[..]CN[--|n/a
BODFD|1|1|1|1|CUNOGUSI HIC IACIT|(The stone) of Cunogus(s)us (PN). He lies here.
BODFD|1|1|2|1|CUNOGUS HIC IACIT|n/a
BOSKN|1|1|1|1|EVOCAT CAT[--|Evocat (PN) Cat[-- (PN)
BOSKN|1|1|2|1|EVOCA[L^T]I CAT[--|of Evocalus (or Evocatus) (PN) Cat[-- (PN)
BOSKN|1|1|3|1|EVOCATI CAT[--] FILI|of Evocatos (PN) son of Cat[-- (PN)
BOSKN|1|2|1|1|{alpha}{omega}|{alpha}{omega}
BOSLW|1|1|1|1|TAETUERA|Taetuera (PN)
BOSLW|1|1|2|1|T[..]TUE[N^R]T +|T[..]tuert or T[..]tuent (PN)
BOSLW|1|1|3|1|HIC JACIT VENA|Here lies Vena (PN)
BOSLW|1|1|4|1|TAETUERA|Taetuera (PN)
BOSWR|1|1|1|1|[.]O[..]I[.]NI  [.]RIVGDOCI|[the stone] of [--] [and] of [R]iugdocus(PN)
BOSWR|1|1|2|1|DOVITHI IC FILIVS DOCIDCI|n/a
BOWDN|1|1|1|1|VALCI  FILI V[--]AIVS|[the stone] of Valcus(PN), son of  V[--]aius(PN)
BOWDN|1|1|2|1|VALCI FILI VETTANUS|n/a
BOWDN|1|1|2|2|VALCI  FILI VEDDANUS|[the stone] of Valci, son of Veddanus
BQUIN|1|1|1|1|CATABAR MOCO VIRICORB|n/a
BRAGH|1|1|1|1|[--]|n/a
BRAGH|2|1|1|1|MAQ[I]LIAG MAQI ERCA|n/a
BRAGH|2|2|1|1|[--]|n/a
BRATT|1|1|1|1|IRATADDOARENS[--|n/a
BRAW1|1|1|1|1|MAQI QAGTE|(the stone of) ... the son of Quagte (?) (PN).
BRAW1|1|1|2|1|Q[--]QA[--]GTE|n/a
BRAW1|1|1|3|1|Q[--]Q[A^E]GTE|n/a
BRAW1|1|1|4|1|none giveN|n/a
BRAW1|1|1|5|1|[MAQI] QEGTE|n/a
BRAW2|1|1|1|1|MACVTRE[NI] FILI CATOMAG[LI]|n/a
BRAW2|1|1|2|1|MACCATRE[NI] FILI CATOMAG[LI]|(The stone) of Maccutrenus (PN), sone of Catomaglus (PN)
BRAW3|1|1|1|1|VENDOGNI|n/a
BRAW3|1|1|2|1|VENDOGNI|(The stone) of Vendognus (PN)
BRAW3|1|1|3|1|none given|n/a
BRAW3|1|2|1|1|[U]ENDOGNI [F]ILI [H]OCIDEGNI|n/a
BRAW3|1|2|2|1|VENDAGI FILI V[--]NI|(The stone) of Vendagnus (PN), son of V[--]nus
BRAW3|1|2|3|1|VENDOGNI|n/a
BRAW4|1|1|1|1|BRIACI FILI G[L]VV[OC]CI|n/a
BRAW4|1|1|1|2|BRIAC[I] FILI [--]GI|(The stone) of Briacus (PN), son of [--]gus (PN)
BRAW4|1|1|3|1|BRIACI FILI V[--]GI|n/a
BRCKN|1|1|1|1|--][MAQ]QI MUCC[OI][--|
BREAS|1|1|1|1|L[E]GG[--]SD[--] LEGwESCAD|n/a
BREAS|1|1|2|1|-]L[O]G[O][--]S[DA][--]ULEG[-]O[VC][--|n/a
BREAS|1|1|4|1|LE/IGG[O..O]SADIULENGESQ [A]DSA MAQ CORRBRI MAQ AMMLLORATTA|n/a
BREAS|1|2|1|1|MAQ CORRBRI MAQ AMMLLOGwITT|n/a
BREAS|1|2|2|1|"MAQ CORRBRI M[A]Q AMML[LOG--T--
"|n/a
BREAY|1|1|1|1|"CRRO[S!]SCC:NAHHTVVDDA[DD]S:DATTRR:[A]NN[-- | BEN[I]SESMEQQDDR[O]ANN[-"|n/a
BRHAM|1|1|1|1|MAQQi ERCCIAS MAQQI MUCOI DOVINIA|
BRHGW|1|1|1|1|LONSECNAN|n/a
BRHKL|1|1|1|1|--]MAQ[--]LUG[--|
BRIDE|1|1|1|1|LUGRI|n/a
BRIDE|1|1|1|2|LUGRI(PN)|(Pray for the soul of) Lugri(PN)
BRIDE|1|1|2|1|LUGNI|n/a
BRIDE|1|1|2|2|LUGNI(PN)|(Pray for the soul of) Lugni(PN)
BRIDE|1|2|1|1|DIPRUI|n/a
BRIDE|1|2|1|2|DIPRUI (PN)|(Pray for the soul of) Diprui (PN)
BRIDE|1|3|1|1|CONDLICCI(PN)|Condlicci(PN)
BRIDE|1|3|2|1|+ CONDLLICI(PN)|+ Condllici(PN)
BRIDE|1|3|3|1|CONDILICI|n/a
BRIDE|1|3|3|2|+ CONDILICI(PN)|(Pray for the soul of) Condilici(PN)
BRIDE|1|4|1|1|MAB[O]R[AI] SCRIBA + BRERB[--]|Last word read as seperate inscription by Macalister/1949 and Thomas/1971b.
BRIDE|1|4|2|1|"(I) + MALBREN SCRIBA
(II) BREDLIEN"|"n/a.
These were read as one inscription by Kermode. See BRIDE/1/4/1/1."
BRIDE|1|5|1|1|LAGUBERI|n/a
BRIDE|1|6|1|1|R[UUI]|n/a
BRIDL|1|1|1|1|NETTASAGRI MAQI MUCOE BRIACI|n/a
BRIDL|1|1|2|1|NETTASAGRU MAQI MUCOI BRECI|(The stone) of Nettasagrus(PN), son of the descendent of Brecos(PN).
BRIDL|1|1|3|1|NEQASAGROM MAQI MUCOI NECI|Neqasagrom (PN) the son of Mucoi Neci (PN)
BRIDL|1|1|4|1|NETTASAGRI MAQI MUCOE BRICI|n/a
BRIDL|1|1|5|1|NETTASAGRI MAQI MUCOI BRIECI|n/a
BRMOU|1|1|1|1|n/a|
BROD|1|1|1|1|"--][V]ON[O!][L!]]ECCO[I!][-- | R[-][I][N!][A][G!][C][--][Q]O[D!]T{O}[S][T][O]S[-- | EDDCARRNON[-][N][--][T][T]I[--]RR[--][E!][--][E!][--"|n/a
BRUGH|1|1|1|1|OROIT DO DUNCHAD PRESPITER BIC|A prayer for Dunchad (PN) the little presbyter
BRUGH|1|1|2|1|OROIT DO DUNCHAD PRESPITER HIC|Pray for Dunchad (PN), the Presbyter, here.
BRYNK|1|1|1|1|IC ORI FILIV  F POTENTINI|Here is the burial place of Ore(PN), he was the son of Mac Ceithernagh
BRYNK|1|1|2|1|ICORI FILIV F POTENTINI|Icorus(PN), son of the Son of Potentinus (PN)
BRYNK|1|1|3|1|ICORI FILIVS POTENTINI|n/a
BRYNK|1|1|4|1|ICOR[X] FILIVS POTENTINI|(The stone) of Icorix(PN), son of Potentinus (lies here)(PN).
BRYNK|1|2|1|1|ICORIGAS|(Of) Icoris(PN)
BRYNK|1|2|1|2|ICORIGAS|(Of) Icorix(PN).
BRYNK|1|2|2|1|ICORIGAS|n/a
BRYNK|1|2|3|1|ICORIGAS|(The stone) of Icorix(PN).
BUCKM|1|1|1|1|[D]AP[.] [FILI] NICIN[..]SCI|[the stone] of Dap[.], [? son of ?] Nicin[-]sc[us]
BURGA|1|1|1|1|--][Q][--|n/a
BURGA|1|1|2|1|--][N][--|n/a
BURIN|1|1|1|1|I[T!][-][I]R[A]R{A}NN{U}RR{A}CT{*}EVVC{*}{*}OCCS|n/a
BURNF|1|1|1|1|SAGITTARI|
BWEEN|1|1|1|1|TOGITACC MAQI SAGARET TOS|
BWEEN|1|1|2|1|TOGGITTACC [MA]QI [S]AGAR[E][--|
CACHU|1|1|1|1|+ OROIT DO MAELMAIRE|n/a
CALDY|1|1|1|1|MAGL[I]DUBAR [--]QI|n/a
CALDY|1|1|2|1|MAGL[IA] DUBR[ACUNAS MAQI] [--]INB|(The stone) of Maglia-Dubracunas (PN), son of [--]
CALDY|1|2|1|1|ET SINGNO CRUCIS IN ILLAM FINGSI ROGO OMNIBUS AMMULANTIBUS IBI EXORENT PRO ANIMAE CATUOCONI|n/a
CALDY|1|2|2|1|ET SINGNO CRUCIS IN ILLAM FINGSI ROGO OMNIBUS AMMULANTIBUS IBI EXORENT PRO ANIMAE CATUOCONI|And by the sign of the Cross (which) I have fashioned upon that (stone) I ask all who walk there that they pray for the soul of Catuoconus(PN).
