SITE|STONE|DISC_CIRC|DISC_WHEN|DISC_WHO|SUBSQ_HIST|CURRENT_SE|CURRENT_LO|LOC_NOTES|MON_FORM|FORM_NOTES|COMPLETENE|PRESERVATI|PRESCONDNO|M_SOURCE|M_HEIGHT|M_HT_STATU|M_WIDTH|M_WDTH_STA|M_THICKNES|M_THCK_STA|I_SOURCE|I_HT_FEET|I_HT_INCHE|I_HT_STATU|I_WD_FEET|I_WD_INCHE|I_WDTH_STA|I_TH_FEET|I_TH_INCHE|I_THCK_STA|STONE_TYPE|NO_CARVED|DECOR_NOTE|VISITED|id
BAHAN|4|first mentioned|1843|Windele, J.||in display|museum|Macalister/1945, 92--93, records the removal of all ogham stones from their original location in the Ballyhank souterrain, `one of these was purchased from the local farmer by F. M. Jennings in 1846, and presented by him to the Royal Irish Academy (PRIA 3: 213, without any statement of provenance): in 1849 Windele removed the remaining stones to his own residence. All six are now re-united in the Academy's collection'. |pilsp||frgmntry|inc||Power/etal/1997|1.3|actual|0.6|actual|0.2|actual|converted|4|3.25|actual|1|11.5|actual|0|7.75|actual||0||f|BAHAN/4
BAHAN|5|first mentioned|1843|Windele, J.||in display|museum|Macalister/1945, 92--93, records the removal of all ogham stones from their original location in the Ballyhank souterrain, `one of these was purchased from the local farmer by F. M. Jennings in 1846, and presented by him to the Royal Irish Academy (PRIA 3: 213, without any statement of provenance): in 1849 Windele removed the remaining stones to his own residence. All six are now re-united in the Academy's collection'. |pilsp|Macalister/1945, 98: `A rough block of clayslate'. |complete|inc||Power/etal/1997|1.4|actual|0.5|actual|0.4|actual|converted|4|7|actual|1|7.75|actual|1|3.75|actual||0||f|BAHAN/5
CLMAC|8|first mentioned|1869|Rev. J. Graves|Petrie/1872, 72, `Drawn by M[argaret]. S[tokes]., from a rubbing of the stone taken by the Rev. James Graves, in 1869.'|inc|on site||slbns||incomplete|some|A large flake of stone has broken away from the bottom of the slab.|converted|0.91|actual|0.3|actual|0|uncertain|Macalister/1949|3|0|actual|1|0|actual|0|0|uncertain||0||f|CLMAC/8
CLMAC|111|first mentioned|1909|R.A.S. Macalister|"First recorded in Macalister/1909, 30.

Recorded as still on site in Macalister/1949, 54."|inc|on site||slbcr||complete|good||converted|0.91|actual|0.52|actual|0.1|actual|Macalister/1949|3|0|actual|1|8.5|actual|0|4|actual||1|Macalister/1909, 30, `A fine slab with a well-cut three-line cross...with a knot in the centre and side terminals and key-pattern in the upper'.|f|CLMAC/111
ABCAR|1|in/on structure|-1|Morganwg. I.|"Westwood/1858, 162: `But my visit brought to light another stone of the Roman period, which, at the period of my visit, formed the lintel of an ox-stall...The stone has one end built into the wall, so that the beginning of the inscription...is hidden''.

Rhys/1873, 9: `Sept. 1. ...Persuaded him [Mr Wilkins] to come with me some six miles along the Brecon road in quest of a stone which Professor Westwood found used as a lintel of an out-house...The stone was in the same position, but the door had been walled up and a building made adjoining it....''.

Westwood/1876, 64: `In one of my rambles in Brecknockshire I found this stone (to which I had been directed by the late Taliesin Williams of Merthyr Tydfil, and which had not been previously recorded) forming the lintel of a beast-house at Abercar, on the west side of the road from Brecon to Merthyr, about 100 yards north of the thirteenth mile-stone from the former place and two miles south of Capel-Nant-Ddw. The adjoining farm-house abuts on the turnpike-road, on the south side of a small rivulet, and a long barn and cow-house close adjoining are on the north side of a small brook (Cwm-Car) which crosses the road''.

`The stone has one end built into the wall...

`...Since my visit, the doorway, as we learn from Prof. Rhys, has been walled up, and a building made adjoining it''.

Rhys/Wilkins/1886, 95: `Some years ago...we found that the inscription was all covered by the doorway having been walled up...Since then Mr. Wilkins...and Mrs. Davies...[have extricated] this ancient monument, which is now open to easy examination on Mr. Wilkins''s lawn at Merthyr Tydfil''.

Anon/1901, 61: `The Abercar inscribed stone was dislodged from its former inconvenient position as a lintel in a beast house at Abercar, and brought to Merthyr through the instrumentality of our [The Cambrian Association] Local Secretary, Mr. C. Wilkins.  It has now been removed to St. Tydfil''s Churchyard. and erected on a suitable pedestal near the entrance gate''.

Macalister/1945, 319--20: `This stone was discovered by Iolo Morganwg, whose son Taliesin Williams drew Westwood''s attention to it.  It was then doing duty as a door-lintel in a cattle-shed on the farm of Abercar, on the west side of the road from Merthyr Tydfil to Brecon...It was afterwards removed by Mr. C. Wilkins of Merthyr Tydfil to the lawn of his garden: and it is now in the parish church of the same town''.
"|in display|other|Macalister/1945, 320: `...clamped to the wall [of Merthyr Tydfil church], at the E. end of the N. aisle'.|pilsp|"Plain pillar stone with `...a tenon, 10'" long, for fitting into a socket in a supporting pedestal stone'' (Macalister/1945, 320).

Nash-Williams/1950, 69: `Roughly quadrangular pillar stone''.

See also Rhys/Wilkins/1886."|incomplete|some|"Westwood/1858, 162: `...and the stone is cracked across the middle of the doorway (the inscription being on the under side of the stone)''.

Nash-Williams/1950, 69: `top fractured away...The stone appears to have been trimmed down in modern times''. "|converted|1.79|actual|0.23|actual|0.14|actual|Macalister/1945|5|10.5|actual|0|9|actual|0|5.5|actual||0||f|ABCAR/1
CLMAC|126|first mentioned|1909|R.A.S. Macalister|"First recorded in Macalister/1909, 34.

Recorded as still on site in Macalister/1949, 56."|inc|on site||slbcr||frgmntry|good||converted|0.38|actual|0.2|actual|0.04|actual|Macalister/1949|1|3|actual|0|8|actual|0|1.75|actual||1|Macalister/1909, 34, `the angles of the terminals are looped into ears by the projection and crossing of the outer marginal line'.|f|CLMAC/126
TOURP|20|arch excav|1909|Prof. M.V. Duigan||inc|inc||slbcr|"Macalister/1949, 213, notes of TOURP/9 to TOURP/31 that they are all, `...fragmentary slabs of sandstone''.
"|frgmntry|poor||converted||inc||inc||inc|Macalister/1949|||inc|||inc|||inc||1||f|TOURP/20
BALIG|8|first mentioned|0|Hitchcock|"Macalister/1945, 144: `I have found in the notebooks of Hitchcock and of Graves records of another (fragmentary) stone''.

Macalister/1945, 150--151: `This stone - a small fragment - appears to have been left behind on the site and is no longer to be found. The wood block. here reproduced, was prepared for Bishop Graves from a drawing by Hitchcock; but the inscription is evidently too fragmentary, and the copy too uncertain, to tell us anything''.

Cuppage/etal/1986, 252: `Hitchcock noted an 8th ogham stone at the site with fragmentary traces of an inscription...This has not been located''. "|lost|lost||pilsp||inc|some||converted||n/a||n/a||n/a|Macalister/1945|||n/a|||n/a|||n/a||0||f|BALIG/8
CLMAC|9|first mentioned|1898|R.A.S. Macalister|"This stone is first recorded as either Macalister/1899, no. 129, or no. 165. It may in fact both since the description of these two stones is the same, and no other inscription from Clonmacnoise reads [--]UID[--].

Macalister/1949, 43, records the stone as still on site."|inc|on site||ind||frgmntry|poor||converted|0.21|actual|0.17|actual|0.04|actual|Macalister/1949|0|8.25|actual|0|6.75|actual|0|1.75|actual||0||f|CLMAC/9
CLMAC|160|first mentioned|1822|G.Petrie||lost|lost||fragy||frgmntry|poor||converted||n/a||n/a||n/a|Petrie/1872|||n/a|||n/a|||n/a||1|"Petrie/1872 ,20: `...a well-preserved and perfectly formed Irish cross''.

Macalister/1909, 43; `A plain, single-line cross inside a single-line margin''. "|f|CLMAC/160
CLMAC|10|first mentioned|1822|G. Petrie|"Petrie/1872, 70, `Drawn by Dr. Petrie at Clonmacnois, in 1822''.

Macalister/1909, 2, `I found it doing duty as a headstone buried almost to the top, and had it rooted up and transported to one of the chapels where the slabs are stored''.

Recorded as still on site in Macalister/1949, 44."|inc|on site|Macalister/1909, 2, `I found it doing duty as a headstone buried almost to the top, and had it rooted up and transported to one of the chapels where the slabs are stored'.|slbns||complete|good||converted|1.32|actual|0.74|actual|0.12|actual|Macalister/1949|4|4|actual|2|5|actual|0|4.75|actual||0||f|CLMAC/10
CLMAC|11|first mentioned|1899|R.A.S. Macalister|"First recorded as Macalister/1899, no. 155.

Macalister/1949, 44, records the stone as still on site."|inc|on site||ind||incomplete|some||converted|0.71|actual|0.5|actual|0.07|actual|Macalister/1949|2|4|actual|1|7.75|actual|0|2.75|actual||0||f|CLMAC/11
CLMAC|262|non-arch dig|1990|G. Claffey||in display|inc||pilsp||complete|some||Manning/Moore/1991|1.65|actual|0.65|actual|0.3|actual|converted|5|5|actual|2|1.5|actual|0|11.75|actual||0||f|CLMAC/262
TOURP|21|arch excav|1909|Prof. M.V. Duigan||inc|inc||slbns|"Macalister/1949, 213, notes of TOURP/9 to TOURP/31 that they are all, `...fragmentary slabs of sandstone''.
"|frgmntry|inc||converted||inc||inc||inc|Macalister/1949|||inc|||inc|||inc||||f|TOURP/21
CRCOM|2|recognised|1898|Carmody, Rev. W. P.|Macalister/1945, 297, `Discovered by Rev. W. P. (afterwards Dean) Carmody, then rector of Connor, in the year 1898.  There were two inscribed stones roofing a souterrain...the second [this one] is in the National Museum, Dublin.'|in display|museum|National Museum of Ireland, Dublin, as of 1945.|pilsp||complete|poor|Macalister/1945, 297, `Must have been for long exposed to weathering, before being appropriated by the souterrain builders.'|converted|0.95|actual|0.25|actual|0.28|actual|Macalister/1945|3|1.5|actual|0|10|actual|0|11|actual||0||f|CRCOM/2
TOURP|22|arch excav|1909|Prof. M.V. Duigan||inc|inc||slbns|"Macalister/1949, 213, notes of TOURP/9 to TOURP/31 that they are all, `...fragmentary slabs of sandstone''.
"|frgmntry|poor||converted||inc||inc||inc|Macalister/1949|||inc|||inc|||inc||0||f|TOURP/22
DEELI|1|recognised|1826|McCarthy|Macalister/1945, 107, `Found in 1826 in the entrenchment of an old burial-ground on this townland: obtained from the finder, a man named McCarthy, by Mr. Paul Horgan, of Carrigagulla, in the neighborhood, from whom it passed through Windele's mediation in 1835 to the Royal Cotk Institution, and thence found its way to the British Museum'.|unattch|museum|Macalister/1945, 107--108, `the British Museum'. |pilsp||incomplete|some|Macalister/1945, 108, `The bottom of the stone is broken away, carrying with it the beginnings of both lines'. |converted||n/a||n/a||inc|Macalister/1945|||n/a|||n/a|||inc||0||f|DEELI/1
FRMSN|1|||||||||||||||||||||||||||||||||f|FRMSN/1
CLMAC|166|first mentioned|1822|G. Petrie||lost|lost||fragy||frgmntry|inc||converted||n/a||n/a||n/a|Petrie/1872|||n/a|||n/a|||n/a||1|"The corner of what may have been an angular frame around a cross survives.
Macalister/1949, 60: `Corner of a square, doubtless containing a cross''."|f|CLMAC/166
DUNAD|1|recognised|1953|S. Cruden||on ground|earliest|Forsyth/1996, 230:`Just below the summit...is a flattish terrace of bare rock riven with fissures  and bearing a number of carvings'. The ogham inscription is one of these. |nrock||complete|good|Forsyth/1996, 229: `complete, uncarved except for lettering'. |Forsyth/1996||n/a||n/a||n/a|converted|||n/a|||n/a|||n/a||0||f|DUNAD/1
BIRSY|3|arch excav|1980|Morris, C.|Forsyth/1996, 85--86: `...unearthed during the summer of 1980...The stone had been re-used in an area paved with large sandstone flags. No other finds were recovered from this context which was sealed `by one of the rubble spreads between sites E and S' [Morris 1981: 36]. Calibrated radiocarbon dates obtained for this context were in the range 560-769, centering on c. 648. Thus the secondary context of the ogham can be dated approximately to the seventh century, plus or minus 50 years'. |unattch|other|Forsyth examined the stone in the Department of Archaeology, University of Glasgow (Forsyth/1996, 85).  |arcot|Forsyth/1996, 86: `A parallelogram-shaped building stone'. |complete|good|Forsyth/1996, 86:`Flag intact'. |||||||||||||||||||0||f|BIRSY/3
GLEBE|1|first mentioned|1879|R.R. Brash|Macalister/1945, 129, credits Brash/1879, as the first publication of this ogham.|in ground|earliest|Macalister/1945, 129: `On the south-east side of the carn'.|pilsp||complete|some||converted|1.09|visible|0.2|actual|0.18|actual|Macalister/1945, 129|3|7|visible|0|8|actual|0|7|actual||0||f|GLEBE/1
BAHAN|6|first mentioned|1843|Windele, J.||in display|museum|Macalister/1945, 92--93, records the removal of all ogham stones from their original location in the Ballyhank souterrain, `one of these was purchased from the local farmer by F. M. Jennings in 1846, and presented by him to the Royal Irish Academy (PRIA 3: 213, without any statement of provenance): in 1849 Windele removed the remaining stones to his own residence. All six are now re-united in the Academy's collection'. |pilsp|Macalister/1945, 100: `This stone was...originally a very smooth pillar...almost triangular in horizontal section, with sides ranging round 1ft in breadth - a little more or less'.  |inc|inc||Power/etal/1997|1.1|actual|0.3|actual|0.3|actual|converted|3|7.25|actual|0|11.75|actual|0|11.75|actual||0||f|BAHAN/6
BAKIL|1|in/on structure|1949|Duignan, M.||in display|other|Macalister/1949, 195, `...lying neglected in a lonely graveyard, but they have now been put out of reach of footwear by being built into a block of masonry'.  |pilsp|Macalister/1949, 195: `a slab'.|incomplete|some|Macalister/1949, 195, `in good order, though the edges of the slab are chipped'.|converted|1.22|actual|0.61|actual|0.13|actual|Macalister/1949|4|0|actual|2|0|actual|0|5|actual||1|Macalister/1949, 195, `bearing a four-line cross, the lines grouped two and two with a broad space between them. A circular expansion in the centre, high narrow triangles with surved sides at the terminals, all filled with rather common-place key-patterns'.|f|BAKIL/1
CLMAC|217|first mentioned|1949|Mr Molloy|Macalister/1949, 65, states that this stone was found by Mr. Molloy, or his son, in the period between 1909 and 1949.|inc|inc||fragy||frgmntry|some||converted|0.1|actual|0.18|actual|0.08|actual|Macalister/1949|0|4|actual|0|7|actual|0|3|actual||1|Macalister/1949, 66, `Part of a square panel with a cross'. |f|CLMAC/217
CLMAC|24|first mentioned|1822|G. Petrie|"Petrie/1872, 71, `Drawn by Dr. Petrie at Clonmacnois, in 1822''.

Recorded as still on site in Macalister/1949, 45."|inc|on site||slbns||complete|good||converted|1.55|actual|0.71|actual|0.1|actual|Macalister/1949|5|1|actual|2|4|actual|0|4|actual||1|Macalister/1909, 5, `the two small crosses above [the inscription] form an unusual feature'.|f|CLMAC/24
BAKIL|2|first mentioned|1949|Duignan, M.||in display|on site|Macalister/1949, 195, `...lying neglected in a lonely graveyard, but they have now been put out of reach of footwear by being built into a block of masonry'.  |slbcr||inc|inc||converted|0.99|uncertain||uncertain||uncertain|Macalister/1949|3|3|uncertain|2||uncertain||5|uncertain||1|Macalister/1945, 195--196: `...a cross formed of lines grouped one-two-two-one, the inner line of the groups of two being more slender than the outer. The broad band between the two groups seems to have been covered with interlacement, but the surface of the stone is so weathered and disintegrated that it is next to impossible to make anything out at all'. |f|BAKIL/2
ICLTA|10|first mentioned|1879|Board of Works|Earliest reference: Board of Works Report (1879--1880), not consulted.|in ground|earliest||slbbd||complete|some|Macalister/1916, pl. XXII shows the stone is cracked at the top.|converted|1.45|actual|0.41|actual|0|inc|Macalister/1949|4|9|actual|1|4|actual|0|0|inc||1|Macalister/1949, 90, `Latin cross with hollowed angles and expanding square base, open below.'|t|ICLTA/10
BAKIL|3|first mentioned|1949|Duignan, M.|Macalister/1949, 195, `...lying neglected in a lonely graveyard, but they have now been put out of reach of footwear by being built into a block of masonry'.  |in struct|on site|Macalister/1949, 196: `fixed at such a height above the ground that it is impossible to take measurements or rubbings'.|slbcr||incomplete|some|Macalister/1949, 196: `The top of the stone is broken away'.|converted|0|inc|0|inc|0|inc|Macalister/1949|0|0|inc|0|0|inc|0|0|inc||1|Macalister/1949, 196: `there is a four-line cross, the lines grouped two and two; the centre with a circular expansion enclosing two pellets in each canton, the two surviving terminals with looped triangular expansions containing a commonplace key pattern'.|f|BAKIL/3
BAKIL|4|first mentioned|1949|Duignan, M.|Macalister/1949, 195, `...lying neglected in a lonely graveyard, but they have now been put out of reach of footwear by being built into a block of masonry'.  |in struct|on site|Macalister/1949, 196: `fixed at such a height above the ground that it is impossible to take measurements or rubbings'.|slbcr||inc|some|Macalister/1949, 196, refers to `obscure and perhaps illusory' letters, impying some damage to the stone.|converted|0|inc|0|inc|0|inc|Macalister/1949|0|0|inc|0|0|inc|0|0|inc||1|Macalister/1949, 196: `A cross with looped expansions, containing no ornament'.|f|BAKIL/4
CLMAC|25|first mentioned|1832|G. Petrie|"Petrie/1872, 28, `Drawn by Dr. Petrie at Clonmacnois, in the year 1832''.

Recorded as still on site in Macalister/1949, 45."|inc|on site||slbns||complete|some||converted|0.74|actual|0.56|actual|0.09|actual|Macalister/1949|2|5|actual|1|10|actual|0|3.5|actual||1|Macalister/1909, 6, `A Latin cross pattee'.|f|CLMAC/25
CLMAC|218|first mentioned|1949|Mr Molloy|Macalister/1949, 65, states that this stone was found by Mr. Molloy, or his son, in the period between 1909 and 1949.|lost|lost||fragy||frgmntry|some||converted||actual||actual||actual|Macalister/1949||4|actual||8.5|actual||2|actual||0||f|CLMAC/218
CLMAC|219|recognised|1949|Mr Molloy|Macalister/1949, 65, states that this stone was found by Mr. Molloy, or his son, in the period between 1909 and 1949.|lost|lost||fragy||frgmntry|poor||converted||actual||actual||actual|Macalister/1949||5|actual||3.5|actual||2.25|actual||0||f|CLMAC/219
CLMAC|220|first mentioned|1949|Mr Molloy|Macalister/1949, 65, states that this stone was found by Mr. Molloy, or his son, in the period between 1909 and 1949.|lost|lost||fragy||frgmntry|some||converted||actual||actual||actual|Macalister/1949||8.5|actual||7|actual||1.25|actual||1|Macalister/1949, 67: `Part of a cross with expansion'.|f|CLMAC/220
BAKIL|5|first mentioned|1949|Duignan, M.|Macalister/1949, 195, `...lying neglected in a lonely graveyard, but they have now been put out of reach of footwear by being built into a block of masonry'.  |in struct|on site|Macalister/1949, 196: `fixed at such a height above the ground that it is impossible to take measurements or rubbings'.|slbcr||frgmntry|good|Macalister/1949, 196, and Plate V, indicate that only the bottom of the stone remains. This appears, however, to be in reasonably good condition.|converted|0|inc|0|inc|0|inc|Macalister/1949|0|0|inc|0|0|inc|0|0|inc||1|Macalister/1949, 196: `A seven-line cross, the lines grouped two-three-two; looped triangular terminals, of which only one, containing a key pattern, remains. The cantons are enclosed within rectilinear marginal framing-lines, the ends of whcih fit into the loops of the terminals'.|f|BAKIL/5
