"SITE"|"NAME"|"CEL_NAME"|"PLACE"|"CEL_PLACE"|"PARISH"|"CEL_PARISH"|"COUNTY"|"CEL_COUNTY"|"COUNTRY"|"HEIGHTOD"|"SITE_TYPE"|"SITE_DESCR"|"SITE_HISTO"|"Site Address"|"grid"|"easting"|"northing"|"lat"|"lon"
"AHLIS"|"Ahalisky"|"Ahalisky"|"Ahalisky"|"Ahalisky"|"East Carbery"|"Kilmalooda"|"Cork"|"inc"|"Ireland"|NULL|"soutn"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ALTYR"|"Altyre"|"inc"|"Altyre"|"inc"|"Rafford"|"inc"|"Moray"|"inc"|"Scotland"|NULL|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AMORE"|"Ardmore"|"Ardmore"|"Ardmore"|"inc"|"Barony of Decies within Drum"|"inc"|"Tipperary"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1945, 257--258: `...built into the walls of St Declan's oratory...now standing in a niche in the choir of the Cathedral'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ANDRS"|"Knoc-y-doonee"|"Knoc-y-doonee"|"Andreas"|"Andreas"|"Andreas"|"Andreas"|"Isle of Man"|"Ynys Manaw/Ellan Vannin"|"Isle of Man"|NULL|"cemet"|NULL|"Kermode/1910-1911, reprinted as Kermode/1994, Appendix A, 6, describes the site as a `keeill', and states that `we found certain traces of burial, but no lintels or formed grave'.

Kermode/1911-1912, reprinted as Kermode/1994, Appendix B, 15, illustrates a `pre-Scandinavian' cross found at Knoc y Doonee.

Kermode/1911, 23-39, gives a detailed description of the site.

Cubbon/1982, 259, `the burial ground of the keeill at Knock y Doonee, Andreas'."|NULL|NULL|NULL|NULL|NULL|NULL
"ANGAP"|"Annagap"|"Annagap"|"Annagap"|"Annagap"|"Kerry"|"inc"|"Corkaguiney"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 139: `...a ringfort called Parkaglassa'. 

Cuppage et al/1986, 259--61: `A large subrectangular structure...The ecclesiastical nature of the site is suggested by its name'. 
"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ANSCL"|"Annascaul"|"Annascaul"|"Annascaul"|"Annascaul"|"Ballynacourty"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"modsc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ARBRY"|"Bimaken Friary"|"inc"|"Arbory"|"inc"|"Kirk Arbory"|"inc"|"Isle of Man"|"Ellan Vannin/Ynys Manaw"|"Isle of Man"|NULL|"eccle"|NULL|"Bruce/1968, 38--39, `mediaeval buildings occupy the site and obscure any traces of earlier structures that may have survived when the Franciscan friars began to build in the 14th century. The belief that such earlier church buildings did, in fact, exist arises from the discovery on the site of two ogam-inscribed stones and of an early Christian burial ground, and from certain local place-names...About forty years ago, a number of burials, apparently in lintel-graves, were found in the course of farming operations some 40-50 yds. west of the church...It should be noted that the stated position of these graves does not accord with usual Franciscan practice, under which they would be sited to the south of the church. They may well antedate the establishment of the Friary, and along with the ogam stones...provide evidence for a much earlier Christian use of the site'."|NULL|NULL|NULL|NULL|NULL|NULL
"ARDCT"|"Ardcanaght"|"Ardcanaght"|"Ardcanaght"|"Ardcanaght"|"Trughanacmy"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 241: `...an old graveyard on this townland'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ARDFE"|"Ardfert"|"Ardfert"|"Ardfert"|"Ardfert"|"Clanmaurice"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 132: `Formerly in the middle of a field opposite the Protestant church: now moved into the graveyard surrounding the ruined cathedral, where it stands just opposite the entrance stile'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ARDNE"|"Ardrinane"|"Ardrinane"|"Ardrinane"|"Ardrinane"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"modsc"|"Macalister/1945, 139; `A fragment of sandstone...built into an old fence...in this townland, and identified as bearing Ogham by Mr P. O'Sullivan'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ARFYN"|"Arfryn"|"Arfryn"|"Arfryn"|"Arfryn"|"Bodedern"|"Bodedern"|"Anglesey"|"Sir Fon"|"Wales"|NULL|"cemet"|NULL|"White/1971-72, 19-51. The stone was found re-used as part of a grave within a long-cist cemetery. This cemetery had graves oriented both N-S and E-W, and is dated to between the fifth and sixth century. Two or three of the graves had post-holes at the head of the grave suggesting the erection of grave markers, probably of wood.

In 1732 Lewis Morris noted that at Arfryn, 'There is an ancient burying place lately discovered in this parich abt 1/2 a mile of ye church and stone coffins dug up with their heads to the south: In a place called pen Eglwys Edern: al pen Eglwys Leder where there is also a stone called llex Edern'. Quoted in White/1971-72, 30.

The cemetery included graves of children and does not seem to have been monastic in nature.

Edwards/1986, 31-34, argues that the central feature of the cemetery was a small wooden chapel erected over a grave."|NULL|NULL|NULL|NULL|NULL|NULL
"ARRAG"|"Arraglen"|"Ara-ghleann"|"Arraglen"|"Ara-ghleann"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 140: `...a peat-covered plateau at the N. W. end of Brandon Mountain, to the south of the knoll called _Masatiompan_'. 

Cuppage et al/1986, 248: `...this stone stands in the elevated and exposed gap between Masatiompan and the steep N slopes of Brandon mountain, and commands a dramatic view to both sides of the mountain range'. 
"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ATHLO"|"Athlone"|"Athlone"|"Athlone"|"Athlone"|"Brawny"|"inc"|"Westmeath"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1949, 78: `the Franciscan cemetery, Athlone'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AUQUH"|"Auquhollie"|"inc"|"Auquhollie"|"inc"|"Fetteresso"|"inc"|"Kincardineshire"|"inc"|"Scotland"|NULL|"lands"|"Forsyth/1996, 41: `..380 metres north-west of Nether Auquhollie farmstead'. 
"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AUTAG"|"Aultagh"|"inc"|"Aultagh"|"inc"|"East Carbery"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AYWAG"|"Ardywanig"|"Ardywanig"|"Ardywanig"|"Ardywanig"|"Trughanacmy"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 242: `A flag-stone set up in an ancient cemetery, now disused except for unbaptised children'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BABOR"|"Ballynabortagh"|"inc"|"Ballynabortagh"|"inc"|"Barrymore"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 62: `A site once bearing extensive earthworks, which were destroyed in the middle of the last century by the tenant, one Laurence Collins'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAGLN"|"Baglan"|"Morg"|"Baglan"|"Morg"|"Baglan"|"Morg"|"Glamorganshire"|"Morgannwg"|"Wales"|NULL|"eccle"|"Westwood/1851, 145: `...the pretty little church of Baglan, near Neath, previous to its recent restoration, I found this stone lying exposed, face upwards, as one of the coping-stones of the churchyard wall. '

Rhys/1873, 7--8: `Baglan Church, about three miles from Briton Ferry station.'

"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAHAN"|"Ballyhank"|"inc"|"Ballyhank"|"inc"|"East Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"settl"|"Macalister/1945, 92: `Five ogham inscriptions were discovered in a souterrain on this townland. The souterrain was a passage 52 ' long, in three sections, 18', 16' and 18' long respectively, on  a slight zig-zag plan and with no expansion at either end'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAKIL"|"Ballynakill"|"inc"|"Ballynakill"|"inc"|"Moydow"|"inc"|"Longford"|"inc"|"Ireland"|NULL|"cemet"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAKNK"|"Ballyknock"|"inc"|"Ballyknock"|"inc"|"Kinnatalloon"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"modsc"|"Macalister/1907, 107--108, `...found in the construction of a drain connected with the ruins of a Medieval  castle on the farm of Mrs Donovan, Ballyknock'.

Macalister/1945, 84: `Fifteen stones inscribed with Oghams were found on this townland, acting as lintels over a drain at the Castle Farm'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BALBA"|"Ballybarrack"|"Ballybarrack"|"Ballybarrack"|"Ballybarrack"|"Ballybarrack"|"inc"|"Louth"|"inc"|"Ireland"|NULL|"soutn"|"McManus/1991, 76: `found in a souterrain in Ballybarrack, Co. Louth'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BALBO"|"Ballyboodan"|"inc"|"Ballyboodan"|"inc"|"Knocktopher"|"inc"|"Kilkenny"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 43, shows a photo of the stone on site. The site appears to be a cleared field in open country."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BALBR"|"Ballybroman"|"inc"|"Ballybroman"|"inc"|"O'Dorney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"soutn"|"McManus/1991, 68: `...a souterrain in Ballybroman, near Tralee, Co. Kerry'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BALEE"|"Ballineanig"|"inc"|"Ballineanig"|"inc"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BALGH"|"Balloughton"|"inc"|"Balloughton"|"inc"|"Bargy"|"inc"|"Wexford"|"Loch Garman"|"Ireland"|NULL|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BALIG"|"Ballinranig"|"inc"|"Ballinranig"|"inc"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"eccle"|"Cuppage/etal/1986, 250: `A  large grass-grown, sandy knoll, crowned with a single ogham stone, is located at the base of a small promontory on the S shore of Smerwick Harbour'. "|"Macalister/1945, 144: `In 1782 a storm blew away an accumulation of sand, and revealed a series of seven Ogham-inscribed stones, in an ancient burial-ground, called Kilvickillane, on the shore of Smerwick Bay'. "|NULL|NULL|NULL|NULL|NULL|NULL
"BARDS"|"Bardsey Island"|"inc"|"Bardsey"|"inc"|"Bardsey"|"inc"|"Caernarvonshire"|"Caernarfon"|"Wales"|NULL|"eccle"|"RCAHMW/1964, 17, `The Island of Bardsey, or Ynys Enlli, lies nearly two miles S. of the extreme W. end of Lleyn.  The total area is nearly 450 acres.  The Island is dominated by Mynydd Enlli (summit 500 ft. above O.D.) which falls precipitously to the sea on the E. The remainder of the surface is nearly flat, and is good agricultural land, but the S. part is very exposed...A survey by Whitchurch made in 1790, although drawn to a small scale shows about 12 dwellings at the foot of the W. slope of the mountain near the 130 ft. contour; of these only Carreg-bach (at SH 11982202) survives.  A large building apparently about 150 ft. E. of Hen-dy (at SH 12052223) is noted as `ruins of church barn etc.'; it has left no trace.  In 1806 it is recorded that there were 12 to 15 houses occupied by about 60 people mainly dependent on fishing; in 1960 there were seven permanent residents.  Between 1870 and 1875 the farms were rebuilt and form an interesting example of 19th-century agricultural planning.  Carreg and Plas-bach formed separate units, but the remaining eight were built as semi-detached houses, each pair with out-buildings set around a shared yard...The island was an important place of pilgrimage and monastic settlement throughout the Middle Ages, possibly from as early as the 6th century, but apart from a ruined tower belonging to the monastery (No. 1518) little remains visible except a few loose pieces of dressed stone, a fragmentary inscribed cross-slab and a medieval gravestone.  Some of the huts of which traces remain on Mynydd Enlli (No. 1520) may have formed part of the early monastic settlement, but no certain attribution can be made on the evidence of their present appearance...

`The Abbey of Enlli or St. Mary of Bardsey stood at about 150 ft. above O.D. at the N. end of the Island.  The tower within the present burial-ground is the only part of its structure remaining above ground.'

The tower dates from the 13th century constructed of rubble with local sandstone dressings.  It is 19 ft. square and 23 ft. high (RCAHMW/1964, 18). This ruined tower is the only surviving remains of the Abbey."|"RCAHMW/1964, 17--18: `The Island was famous in Wales by the early 12th century as a monastic retreat and a place of pilgrimage, being the reputed burial-place of such 6th-century saints as Dubricius (Dyfrig) and Deniol `of the Bangors'.  The earliest contemporary reference, however, appears to be in 1011, the _obit_ of a monk of Enlli, of about the same period as a fragmentary cross-slab found there...The church of Enlli is named among those leading churches of Gwynedd to which Gruffydd ap Cynan made gifts shortly before his death in 1137.  The monks are described as Culdees in 1188, like those of Beddgelert...; that is to say, they were still Celtic, not attached to any Roman monastic order.  But shortly before 1212 two canons of Bardsey appear as witnesses to a charter in favour of the Augustinian abbey of Haughmond (Salop) and its church at Nyfyn (No. 1680), a context which suggests that they were already canons of the same rule.  Such a change is reflected in 1252 in an agreement between the abbey of Enlli and the secular canons of Aberdaron (No. 1456).  Its terms imply a previous connection between the two bodies, and this reappears in the 16th century.  The abbey certainly belonged to the Augustinian Order from the early 14th century until the Dissolution.

`No direct record of building is known, but _ca._ 1305 the abbey was provisionally allowed to take timber from the woods of Merioneth.  In 1346 the abbot and the canons were able to shut themselves up when the Island was raided.  As granted after the Dissolution the site contained the `monastery of small priorie' with `the church hows & steple', as well as rooms and barns, orchards and gardens.

`No demolition is recorded then; the buildings must have been left to fall into ruin.  In 1662, John Ray the naturalist noted a ruined church, adding,`three more they told us of'.  Pennant in 1773 writes of `the abbot's house...a larges stone building inhabited by several of the natives' and `not far from it...a singular chapel, or oratory, being a long arched edifice, with an insulated stone altar near the east end'.  The abbot's lodging was still inhabited in 1814, but by 1846 only the ruined tower remained.'"|NULL|NULL|NULL|NULL|NULL|NULL
"BARHA"|"Barrahaurin"|"inc"|"Barrahaurin"|"inc"|"East Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1907, 123: `...one of the many _raths_ on the townland of Barachaurin, and purchased for the Royal Cork Institution'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BARM1"|"Barmouth"|"inc"|"Barmouth"|"inc"|"Barmouth"|"inc"|"Merionethshire"|"Meirionydd"|"Wales"|NULL|"other"|"ONeil/1932, 105: `...sea-wall at Barmouth ...in the sand twenty feet below high water mark at Latitude 52 52"" (i.e. on a line with  the `W' of `CAMBRIAN RAILWAY' on O.S. map XXXVI N.W.).'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BARM2"|"Ceilwart Isa Farm"|"inc"|"Ceilwart Isa Farm"|"inc"|"Barmouth"|"inc"|"Merionethshire"|"Meirionydd"|"Wales"|NULL|"inc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAROG"|"Barnaveddoge"|"Barnaveddoge"|"Barnaveddoge"|"Barnaveddoge"|"Ardee"|"inc"|"Louth"|"inc"|"Ireland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAVEL"|"Ballyvellon"|"inc"|"Ballyvellon"|"inc"|"Glenahiry"|"inc"|"Waterford"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 291, `formerly at a gap in the wall of the second field (on this townland) from the road from Waterford to Dublin'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAWGL"|"Bawlaglanna"|"inc"|"Bawlaglenna"|"inc"|"Trughanacmy"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 243, `On the farm of Lackareigh, townland of Bawnaglenna'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BAYEL"|"Ballyelan"|"inc"|"Ballyelan"|"inc"|"Connello Upper"|"inc"|"Limerick"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 252, `...a holy well about 1 mile S. of Knockfeerina, on the road from Rathkeale to Charleville, and about 7 miles from the former place'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BCARE"|"Boleycarrigeen"|"Boleycarrigeen"|"Boleycarrigeen"|"Boleycarrigeen"|"Upper Talbotstown"|"inc"|"Wicklow"|"inc"|"Ireland"|NULL|"settl"|"Macalister/1945, 54, `...the ring-fort of the townland called Crossoona'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BDAFN"|"Tyddyn Holland"|"inc"|"Bodafon"|"inc"|"Llandudno"|"inc"|"Caernarvonshire"|"Caernarfon"|"Wales"|NULL|"lands"|"Lewis Morris' MSS notes, cited in Owen/1896, 138, `In the highway by Tyddyn Holand, between Bodafon and Rhiw Leding, in Creuddyn, near Conwy...near to a rock called Crai'r nodwydd dur...There are a vast many ruins about this place, and it seems there was a town here in ye times of ye ancient Britons.'

RCAHMW/1956, 115, `The site is name on O.S. sheet 5 N.W. ...but the `vast many ruins' are no longer visible.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BDREN"|"Ballyandreen"|"Baile an Draighin"|"Ballyandreen"|"Baile an Draighin"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"modsc"|"Macalister/1945, 160, records that the stone was:  `Found acting as a lintel over an outhouse', and thus its original location is unknown.

Cuppage/etal/1986, 44: `At the lowest and westernmost point of the ridge extending W from Flemingstown mountain, on level pastureland'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BENBR"|"Bennettsbridge"|"Bennettsbridge"|"Bennettsbridge"|"Bennettsbridge"|"Danesfort"|"inc"|"Kilkenny"|"inc"|"Ireland"|NULL|"modsc"|"McManus/1991, 75: `Found acting as a gate-post between Bennettsbridge and Thomastown, Co. Kilkenny'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BGARR"|"Ballingary"|"inc"|"Ballingary"|"inc"|"Coshlea"|"inc"|"Limerick"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 253: '...a field beside Ballingarry House'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BGLAS"|"Baltinglass"|"Baltinglass"|"Baltinglass"|"Baltinglass"|"Upper Talbotstown"|"inc"|"Wicklow"|"inc"|"Ireland"|NULL|"inc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BHILL"|"Brackhill"|"inc"|"Brackhill"|"inc"|"Trughanacmy"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 243--244: `...an inscription on the lintel stone of a souterrain...On enquiry I found that there was a tradition of a souterrain having been formerly in the townland, on the farm of one Cronin, but that it had been destroyed and the site ploughed up'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BIISL"|"Bishop's Island"|"inc"|"Bishop's Island"|"inc"|"Barrymore"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"modsc"|"Macalister/1945, 65, records that the stone was found re-used as `the gate pier of a farm wall'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BIRSY"|"Birsay"|"inc"|"Birsay"|"inc"|NULL|"inc"|"Orkney"|"inc"|"Scotland"|NULL|"settl"|"Forsyth/1996, 69: `The brough of Birsay is a tidal outlet, just over 20 hectares in area, off the north-west coast of mainland Orkney at the head of Birsay Bay (NGR HY 239 285)'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"BISCV"|"Biscovey"|"inc"|"St Blazey"|"inc"|"St Blazey"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"lands"|"Okasha/1993, 63, `In 1754 W. Borlase recorded that the stone was in `the parish of St. Blasey', and that, in `a little meadow adjoining to the places where this stone now stands, many human bones have been found, and I suspect that this Cross may have been remov'd from thence''."|"No information."|NULL|NULL|NULL|NULL|NULL|NULL
"BLFOO"|"Blackwaterfoot"|"inc"|"Blackwaterfoot"|"inc"|"Kilmory"|"inc"|"Arran"|"inc"|"Scotland"|NULL|"lands"|"Forsyth/1996, 93: `...the largest of a string of caves in the sandstone cliffs about 3 km north of Blackwaterfoot'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
